accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	collection_date	geo_loc_name	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	culture_collection	death_date	disease	disease_stage	genotype	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	gmgi_sequence_id
SAMN52748436	Successfully loaded	Mae-263	108311		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-10-24	USA: Gulf of Maine	male	fin clip																									Mae-263	Mae-263
SAMN52748437	Successfully loaded	Mae-266	110359		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-10-24	USA: Gulf of Maine	female	fin clip																									Mae-266	Mae-266
SAMN52748438	Successfully loaded	Mae-274	121488		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-10-26	USA: Gulf of Maine	female	fin clip																									Mae-274	Mae-274
SAMN52748439	Successfully loaded	Mae-278	123178		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.65	Resting	2022-11-02	USA: Gulf of Maine	female	fin clip																									Mae-278	Mae-278
SAMN52748440	Successfully loaded	Mae-281	124417		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-02	USA: Gulf of Maine	male	fin clip																									Mae-281	Mae-281
SAMN52748441	Successfully loaded	Mae-285	125302		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-02	USA: Gulf of Maine	male	fin clip																									Mae-285	Mae-285
SAMN52748442	Successfully loaded	Mae-293	129424		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Developing	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-293	Mae-293
SAMN52748443	Successfully loaded	Mae-294	129430		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Developing	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-294	Mae-294
SAMN52748444	Successfully loaded	Mae-295	129439		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.65	Developing	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-295	Mae-295
SAMN52748445	Successfully loaded	Mae-298	129506		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Immature	2022-11-03	USA: Gulf of Maine	male	fin clip																									Mae-298	Mae-298
SAMN52748446	Successfully loaded	Mae-302	133569		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.65	Resting	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-302	Mae-302
SAMN52748447	Successfully loaded	Mae-305	133670		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-03	USA: Gulf of Maine	male	fin clip																									Mae-305	Mae-305
SAMN52748448	Successfully loaded	Mae-310	137637		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-04	USA: Gulf of Maine	male	fin clip																									Mae-310	Mae-310
