sample,fastq_1,fastq_2
Mae-263_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-263_S1_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-263_S1_R2_001.fastq.gz
Mae-266_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-266_S2_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-266_S2_R2_001.fastq.gz
Mae-274_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-274_S3_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-274_S3_R2_001.fastq.gz
Mae-278_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-278_S4_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-278_S4_R2_001.fastq.gz
Mae-281_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-281_S5_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-281_S5_R2_001.fastq.gz
Mae-285_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-285_S6_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-285_S6_R2_001.fastq.gz
Mae-293_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-293_S7_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-293_S7_R2_001.fastq.gz
Mae-294_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-294_S8_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-294_S8_R2_001.fastq.gz
Mae-295_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-295_S9_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-295_S9_R2_001.fastq.gz
Mae-298_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-298_S10_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-298_S10_R2_001.fastq.gz
Mae-302_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-302_S11_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-302_S11_R2_001.fastq.gz
Mae-305_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-305_S12_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-305_S12_R2_001.fastq.gz
Mae-310_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-310_S13_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-310_S13_R2_001.fastq.gz
Mae-311_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-311_S14_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-311_S14_R2_001.fastq.gz
Mae-317_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-317_S15_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-317_S15_R2_001.fastq.gz
Mae-322_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-322_S16_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-322_S16_R2_001.fastq.gz
Mae-327_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-327_S17_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-327_S17_R2_001.fastq.gz
Mae-329_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-329_S18_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-329_S18_R2_001.fastq.gz
Mae-330_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-330_S19_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-330_S19_R2_001.fastq.gz
Mae-338_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-338_S20_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-338_S20_R2_001.fastq.gz
Mae-342_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-342_S21_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-342_S21_R2_001.fastq.gz
Mae-343_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-343_S22_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-343_S22_R2_001.fastq.gz
Mae-344_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-344_S23_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-344_S23_R2_001.fastq.gz
Mae-350_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-350_S24_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-350_S24_R2_001.fastq.gz
Mae-352_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-352_S25_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-352_S25_R2_001.fastq.gz
Mae-356_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-356_S26_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-356_S26_R2_001.fastq.gz
Mae-368_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-368_S27_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-368_S27_R2_001.fastq.gz
Mae-371_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-371_S28_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-371_S28_R2_001.fastq.gz
Mae-378_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-378_S29_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-378_S29_R2_001.fastq.gz
Mae-390_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-390_S32_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-390_S32_R2_001.fastq.gz
Mae-396_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-396_S33_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-396_S33_R2_001.fastq.gz
Mae-399_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-399_S34_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-399_S34_R2_001.fastq.gz
Mae-403_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-403_S35_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-403_S35_R2_001.fastq.gz
Mae-405_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-405_S36_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-405_S36_R2_001.fastq.gz
Mae-410_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-410_S37_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-410_S37_R2_001.fastq.gz
Mae-414_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-414_S38_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-414_S38_R2_001.fastq.gz
Mae-421_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-421_S39_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-421_S39_R2_001.fastq.gz
Mae-422_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-422_S40_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-422_S40_R2_001.fastq.gz
Mae-424_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-424_S41_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-424_S41_R2_001.fastq.gz
Mae-428_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-428_S42_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-428_S42_R2_001.fastq.gz
Mae-432_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-432_S43_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-432_S43_R2_001.fastq.gz
Mae-436_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-436_S44_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-436_S44_R2_001.fastq.gz
Mae-440_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-440_S45_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-440_S45_R2_001.fastq.gz
Mae-441_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-441_S46_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-441_S46_R2_001.fastq.gz
Mae-449_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-449_S48_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-449_S48_R2_001.fastq.gz
Mae-454_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-454_S49_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-454_S49_R2_001.fastq.gz
Mae-464_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-464_S50_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-464_S50_R2_001.fastq.gz
Mae-468_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-468_S51_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-468_S51_R2_001.fastq.gz
Mae-470_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-470_S52_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-470_S52_R2_001.fastq.gz
Mae-474_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-474_S57_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-474_S57_R2_001.fastq.gz
Mae-475_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-475_S53_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-475_S53_R2_001.fastq.gz
Mae-477_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-477_S54_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-477_S54_R2_001.fastq.gz
Mae-481_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-481_S55_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-481_S55_R2_001.fastq.gz
Mae-488_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-488_S56_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-488_S56_R2_001.fastq.gz
Mae-495_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-495_S47_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-495_S47_R2_001.fastq.gz
Mae-496_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-496_S58_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-496_S58_R2_001.fastq.gz
Mae-499_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-499_S59_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-499_S59_R2_001.fastq.gz
Mae-501_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-501_S60_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-501_S60_R2_001.fastq.gz
Mae-502_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-502_S61_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-502_S61_R2_001.fastq.gz
Mae-509_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-509_S62_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-509_S62_R2_001.fastq.gz
Mae-512_REP1,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-512_S63_R1_001.fastq.gz,/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-512_S63_R2_001.fastq.gz
