File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-263_S1_R1_001_val_1_bismark_bt2_pe.bam	169701620	77374839	72626772	19700009	2440			3112338607	296500084	166673368	9329882	697270310	177133474	1765431489
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-266_S2_R1_001_val_1_bismark_bt2_pe.bam	178544379	72724528	86869168	18950683	2617			2938454820	279917443	151947895	9501912	643954461	202261632	1650871477
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-274_S3_R1_001_val_1_bismark_bt2_pe.bam	140725823	63671017	60193717	16861089	2027			2657971418	247765190	134060129	5905576	583801050	147725615	1538713858
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-278_S4_R1_001_val_1_bismark_bt2_pe.bam	140124175	62647482	58146426	19330267	2134			2552131495	243307435	126483868	5818260	562773997	143543961	1470203974
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-281_S5_R1_001_val_1_bismark_bt2_pe.bam	179941688	82214796	72811071	24915821	2392			3250843827	301062777	172704210	7638884	713620925	218883504	1836933527
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-285_S6_R1_001_val_1_bismark_bt2_pe.bam	146338780	44529797	86335974	15473009	1284			1734555462	141205407	87460700	5299926	344058923	220747445	935783061
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-293_S7_R1_001_val_1_bismark_bt2_pe.bam	159521487	73139290	66258928	20123269	2391			2958363102	272644932	153740414	6696023	651867419	144236677	1729177637
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-294_S8_R1_001_val_1_bismark_bt2_pe.bam	189201264	84352197	86627886	18221181	2969			3825327022	365883324	181979101	8472459	828650589	190429808	2249911741
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-295_S9_R1_001_val_1_bismark_bt2_pe.bam	115711873	52628662	48632846	14450365	1565			2108178392	200647111	108846661	4916123	470109501	115152186	1208506810
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-298_S10_R1_001_val_1_bismark_bt2_pe.bam	152848552	71342872	61059186	20446494	2288			2798026078	261879304	145500561	7371693	611152957	183826888	1588294675
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-302_S11_R1_001_val_1_bismark_bt2_pe.bam	115699660	47182595	56232192	12284873	1419			1940298596	177319644	98140782	4646565	418695009	125666116	1115830480
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-305_S12_R1_001_val_1_bismark_bt2_pe.bam	143148132	63519581	61048381	18580170	1973			2504290775	220322929	124665947	5755588	525123826	210627312	1417795173
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-310_S13_R1_001_val_1_bismark_bt2_pe.bam	177242659	71472903	85237735	20532021	2462			2851545027	259191742	147167859	7044260	614476680	184033319	1639631167
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-311_S14_R1_001_val_1_bismark_bt2_pe.bam	188942590	83377708	82987858	22577024	2756			3522373718	329173966	184391484	8167113	777322639	175560452	2047758064
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-317_S15_R1_001_val_1_bismark_bt2_pe.bam	146169521	60434633	71843976	13890912	2022			2615490145	246201643	129099926	6021274	576671681	118759701	1538735920
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-322_S16_R1_001_val_1_bismark_bt2_pe.bam	186938958	84946734	77826671	24165553	2630			3385732131	322215175	175286312	8017835	749862351	196316305	1934034153
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-327_S17_R1_001_val_1_bismark_bt2_pe.bam	98757629	44801573	43255313	10700743	1471			1857692980	172865942	94330121	4087340	408386205	95214875	1082808497
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-329_S18_R1_001_val_1_bismark_bt2_pe.bam	141191480	66024530	58646686	16520264	2216			2735343581	254919884	140505703	5906852	602049640	134429990	1597531512
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-330_S19_R1_001_val_1_bismark_bt2_pe.bam	215499588	99599899	88156715	27742974	3034			3895198428	366053413	200800531	9192152	854683770	249472769	2214995793
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-338_S20_R1_001_val_1_bismark_bt2_pe.bam	186686955	82109369	83312880	21264706	2607			3448282798	327817484	173937763	8917681	768362488	164655973	2004591409
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-342_S21_R1_001_val_1_bismark_bt2_pe.bam	227401747	101706417	100380688	25314642	3338			4283327675	388006495	225356411	9977455	940045537	195777306	2524164471
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-343_S22_R1_001_val_1_bismark_bt2_pe.bam	218520722	96741797	95807837	25971088	3055			3853177370	362173494	201608240	9609931	847870430	236916724	2194998551
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-344_S23_R1_001_val_1_bismark_bt2_pe.bam	213507050	93570596	92592379	27344075	2722			3697315963	337772126	188119300	9490520	790912600	276956592	2094064825
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-350_S24_R1_001_val_1_bismark_bt2_pe.bam	164928427	72474819	70351621	22101987	2362			2835517018	266231885	136396057	7102978	595909486	330052009	1499824603
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-352_S25_R1_001_val_1_bismark_bt2_pe.bam	128179039	57693478	54021171	16464390	1761			2217375535	207009501	121063668	5860947	488433029	158069874	1236938516
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-356_S26_R1_001_val_1_bismark_bt2_pe.bam	140750578	64302094	57302034	19146450	1962			2524523226	238956473	134861355	6271624	563273894	154466865	1426693015
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-368_S27_R1_001_val_1_bismark_bt2_pe.bam	132424445	60945075	54265537	17213833	1789			2412212370	236387899	123286916	5585308	546243409	124063098	1376645740
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-371_S28_R1_001_val_1_bismark_bt2_pe.bam	113561431	52479667	47163332	13918432	1621			2126228524	196606334	115781041	4642686	475020442	104651047	1229526974
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-378_S29_R1_001_val_1_bismark_bt2_pe.bam	101729615	41533366	49461241	10735008	1388			1760247778	162274269	93208681	4189475	391188290	87759120	1021627943
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-390_S32_R1_001_val_1_bismark_bt2_pe.bam	217464979	95514494	94948675	27001810	2910			3834647623	360747099	191675413	8797756	840803520	239539840	2193083995
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-396_S33_R1_001_val_1_bismark_bt2_pe.bam	112018156	51768692	47452392	12797072	1602			2101720111	204051095	103606089	5153024	470904782	105423337	1212581784
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-399_S34_R1_001_val_1_bismark_bt2_pe.bam	126030477	59230794	51400215	15399468	1769			2314957002	228126303	118432888	5714501	525669305	113929200	1323084805
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-403_S35_R1_001_val_1_bismark_bt2_pe.bam	116280347	50014010	53568831	12697506	1491			2025979405	198767210	104427426	5254303	458626607	93464423	1165439436
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-405_S36_R1_001_val_1_bismark_bt2_pe.bam	91824032	40513704	40659066	10651262	1114			1623726566	154926838	84750407	3668693	364629934	75657794	940092900
/work/gmgi/Fisheries/epiage/haddock/methylation/aligned/Mae-410_S37_R1_001_val_1_bismark_bt2_pe.bam	125610643	40330577	74474808	10805258	1505			1661777859	157250442	85064483	4601852	366680583	95845237	952335262
