Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg	version
Mae-263_S1_R1_001_val_1	4593080.0	92163068.0	116631373.0	1.6	11.4	63.8	1274305630.0	275126219.0	719623627.0	66168263.0	0.24.2
Mae-266_S2_R1_001_val_1	4796162.0	105299701.0	115088544.0	1.8	13.1	64.6	1254555913.0	265369868.0	701038710.0	62962928.0	0.24.2
Mae-274_S3_R1_001_val_1	2465862.0	76587993.0	90993853.0	1.1	11.4	64.6	1031617295.0	215272504.0	596326280.0	49970803.0	0.24.2
Mae-278_S4_R1_001_val_1	2565601.0	75111596.0	93636956.0	1.2	11.3	65.5	1028520605.0	217475583.0	590506478.0	49224391.0	0.24.2
Mae-281_S5_R1_001_val_1	3240695.0	113073872.0	108183910.0	1.2	13.9	63.1	1245880830.0	258642093.0	699517177.0	63223083.0	0.24.2
Mae-285_S6_R1_001_val_1	2092044.0	111774489.0	48321689.0	1.7	24.7	61.2	651816127.0	118278946.0	340684596.0	30664363.0	0.24.2
Mae-293_S7_R1_001_val_1	2863387.0	74850395.0	102146606.0	1.2	10.0	63.7	1159045257.0	245055247.0	676026893.0	58102729.0	0.24.2
Mae-294_S8_R1_001_val_1	3384806.0	98815515.0	127574252.0	1.2	10.7	66.4	1408465862.0	290799974.0	823259914.0	64631401.0	0.24.2
Mae-295_S9_R1_001_val_1	2154248.0	59874110.0	76284153.0	1.2	11.0	64.6	843976201.0	179692558.0	484193000.0	41778132.0	0.24.2
Mae-298_S10_R1_001_val_1	3373739.0	95243458.0	99241035.0	1.4	13.2	64.0	1115106776.0	232550800.0	628894303.0	55803441.0	0.24.2
Mae-302_S11_R1_001_val_1	1837899.0	64670035.0	58676379.0	1.3	14.1	63.9	690497038.0	139720636.0	392484043.0	33108046.0	0.24.2
Mae-305_S12_R1_001_val_1	2352479.0	109814020.0	77506381.0	1.2	17.3	63.4	945588164.0	185864771.0	525311783.0	44738730.0	0.24.2
Mae-310_S13_R1_001_val_1	3088032.0	95005640.0	101334153.0	1.3	12.4	63.6	1166648174.0	240584864.0	668756259.0	57879226.0	0.24.2
Mae-311_S14_R1_001_val_1	3575413.0	91315335.0	125036486.0	1.2	10.0	63.8	1405754513.0	297104903.0	817852924.0	70869452.0	0.24.2
Mae-317_S15_R1_001_val_1	2572515.0	61569284.0	91214533.0	1.2	9.3	65.3	1021118092.0	215101883.0	602218161.0	48441716.0	0.24.2
Mae-322_S16_R1_001_val_1	3756105.0	103424848.0	131579686.0	1.2	11.2	64.6	1437483877.0	307185021.0	819364961.0	72173256.0	0.24.2
Mae-327_S17_R1_001_val_1	1712441.0	49658595.0	63408072.0	1.1	10.6	64.4	717756356.0	150549740.0	417412544.0	35014964.0	0.24.2
Mae-329_S18_R1_001_val_1	2472449.0	69595060.0	95516187.0	1.1	10.0	64.2	1072457065.0	226830637.0	624769745.0	53272987.0	0.24.2
Mae-330_S19_R1_001_val_1	3976003.0	128446899.0	137861752.0	1.2	12.8	64.2	1544550255.0	323774465.0	873743129.0	76748007.0	0.24.2
Mae-338_S20_R1_001_val_1	4279621.0	86834687.0	129275196.0	1.4	9.5	65.0	1423727577.0	304425075.0	829375642.0	69537356.0	0.24.2
Mae-342_S21_R1_001_val_1	4092187.0	99540996.0	133939470.0	1.2	9.7	63.0	1565072861.0	326477617.0	922203305.0	78819286.0	0.24.2
Mae-343_S22_R1_001_val_1	4612636.0	123882717.0	148122537.0	1.3	11.7	64.0	1641952747.0	347756303.0	934425417.0	83153137.0	0.24.2
Mae-344_S23_R1_001_val_1	4223369.0	142633634.0	127894206.0	1.4	14.6	63.9	1480933901.0	301012280.0	832850412.0	72320000.0	0.24.2
Mae-350_S24_R1_001_val_1	3101693.0	171244871.0	95740106.0	1.4	23.0	65.4	1109996700.0	216783465.0	572442701.0	50683864.0	0.24.2
Mae-352_S25_R1_001_val_1	2815097.0	82465005.0	81902743.0	1.4	14.0	62.8	916343594.0	193915642.0	506762929.0	48482178.0	0.24.2
Mae-356_S26_R1_001_val_1	3032598.0	81236271.0	96432706.0	1.3	12.0	63.7	1059573755.0	227922285.0	596104058.0	54845837.0	0.24.2
Mae-368_S27_R1_001_val_1	2594677.0	64855965.0	93776743.0	1.2	10.3	65.6	992244312.0	216989352.0	564766464.0	49261111.0	0.24.2
Mae-371_S28_R1_001_val_1	2198005.0	55381952.0	79646678.0	1.1	9.7	62.8	893404001.0	192827625.0	516081011.0	47268730.0	0.24.2
Mae-378_S29_R1_001_val_1	1941136.0	46209932.0	62292705.0	1.3	10.1	63.3	707502653.0	150859109.0	410082674.0	36117097.0	0.24.2
Mae-390_S32_R1_001_val_1	3802859.0	123868350.0	131227064.0	1.2	12.8	64.9	1481286245.0	307925963.0	843454364.0	71007645.0	0.24.2
Mae-396_S33_R1_001_val_1	2527414.0	55878248.0	84004055.0	1.3	9.8	66.2	894957580.0	193944298.0	515739033.0	42864532.0	0.24.2
Mae-399_S34_R1_001_val_1	2843600.0	60037494.0	95039354.0	1.3	9.6	65.7	992628360.0	218865565.0	566330760.0	49511587.0	0.24.2
Mae-403_S35_R1_001_val_1	2526817.0	48996549.0	78871762.0	1.4	9.3	65.5	829170706.0	181850716.0	475333214.0	41591648.0	0.24.2
Mae-405_S36_R1_001_val_1	1841507.0	40439125.0	67911363.0	1.1	8.8	64.6	728663780.0	159575651.0	421699441.0	37196693.0	0.24.2
Mae-410_S37_R1_001_val_1	2195178.0	49537018.0	64001206.0	1.4	11.0	64.8	702085489.0	149471952.0	402038952.0	34841183.0	0.24.2
Mae-414_S38_R1_001_val_1	2291065.0	56612235.0	67900468.0	1.4	12.3	64.3	726564558.0	157999388.0	404068683.0	37692719.0	0.24.2
Mae-421_S39_R1_001_val_1	2412983.0	78662468.0	76603226.0	1.3	14.6	64.9	834974101.0	176740657.0	459133401.0	41421366.0	0.24.2
Mae-422_S40_R1_001_val_1	2298741.0	51768558.0	54653722.0	1.8	13.5	63.7	599985225.0	127197107.0	332873155.0	31193942.0	0.24.2
Mae-424_S41_R1_001_val_1	1820923.0	78158727.0	47702258.0	1.6	20.5	61.8	574038590.0	114300606.0	302627032.0	29429044.0	0.24.2
Mae-428_S42_R1_001_val_1	2472959.0	70568270.0	76950041.0	1.3	12.3	63.5	881334853.0	183896535.0	503180835.0	44266213.0	0.24.2
Mae-432_S43_R1_001_val_1	2873249.0	70061698.0	92661907.0	1.3	11.1	66.1	987942063.0	212113901.0	562619376.0	47611932.0	0.24.2
Mae-436_S44_R1_001_val_1	3607151.0	66936280.0	109759866.0	1.4	9.3	65.5	1141764708.0	249934720.0	653691989.0	57834702.0	0.24.2
Mae-440_S45_R1_001_val_1	2870365.0	71541631.0	83406363.0	1.5	12.1	64.4	917181567.0	194801750.0	518544823.0	46016635.0	0.24.2
Mae-441_S46_R1_001_val_1	2570510.0	81293149.0	83162098.0	1.3	13.6	64.3	925978823.0	195315316.0	517396111.0	46241639.0	0.24.2
Mae-449_S48_R1_001_val_1	4672288.0	105360762.0	135933887.0	1.4	11.0	64.5	1490260143.0	319343530.0	850239906.0	74709770.0	0.24.2
Mae-454_S49_R1_001_val_1	2053034.0	44078151.0	69491110.0	1.3	9.3	65.6	745421323.0	161909965.0	431430664.0	36458399.0	0.24.2
Mae-464_S50_R1_001_val_1	1695076.0	48347167.0	52162011.0	1.3	12.0	64.8	609270403.0	124235903.0	354518240.0	28312006.0	0.24.2
Mae-468_S51_R1_001_val_1	3298052.0	90755546.0	100448459.0	1.4	12.1	63.8	1148403792.0	240669464.0	656329854.0	56902417.0	0.24.2
Mae-470_S52_R1_001_val_1	2264842.0	57753116.0	67567246.0	1.4	11.2	63.6	785747616.0	163169036.0	456333184.0	38660192.0	0.24.2
Mae-474_S57_R1_001_val_1	3576243.0	107600246.0	121963374.0	1.3	12.8	65.2	1315873331.0	282056216.0	735697541.0	64979711.0	0.24.2
Mae-475_S53_R1_001_val_1	2842588.0	66569217.0	96977435.0	1.2	9.7	65.1	1063232132.0	227847282.0	616994214.0	52001396.0	0.24.2
Mae-477_S54_R1_001_val_1	3012058.0	98254885.0	103937707.0	1.3	13.3	67.2	1133883591.0	234969614.0	642905906.0	50803421.0	0.24.2
Mae-481_S55_R1_001_val_1	3931710.0	115511721.0	128146144.0	1.3	12.0	63.6	1471519935.0	307056723.0	843378938.0	73494699.0	0.24.2
Mae-488_S56_R1_001_val_1	2693308.0	67457712.0	104169079.0	1.1	9.1	63.7	1155999106.0	250377819.0	671973558.0	59327630.0	0.24.2
Mae-495_S47_R1_001_val_1	2148078.0	58327411.0	68309307.0	1.3	11.2	63.6	799342872.0	167097881.0	464349225.0	39110970.0	0.24.2
Mae-496_S58_R1_001_val_1	2839895.0	63033377.0	86813770.0	1.3	9.6	64.1	1005764327.0	209320100.0	595031584.0	48725601.0	0.24.2
Mae-499_S59_R1_001_val_1	3203039.0	112029291.0	123916391.0	1.1	12.8	68.1	1337503486.0	278863377.0	761518426.0	57972962.0	0.24.2
Mae-501_S60_R1_001_val_1	3719634.0	99380662.0	130693482.0	1.2	10.6	66.1	1439341923.0	304309466.0	834323497.0	66915182.0	0.24.2
Mae-502_S61_R1_001_val_1	2867270.0	83832224.0	110065628.0	1.1	11.0	66.5	1183720338.0	253758602.0	677816503.0	55380111.0	0.24.2
Mae-509_S62_R1_001_val_1	4257347.0	93007466.0	141408947.0	1.3	9.4	64.7	1543304323.0	334823702.0	892522481.0	77284380.0	0.24.2
Mae-512_S63_R1_001_val_1	4689149.0	101728596.0	137148547.0	1.4	10.6	64.1	1506709320.0	325228208.0	861051226.0	76863594.0	0.24.2
Mae-519_S64_R1_001_val_1	2509409.0	97883680.0	88651611.0	1.2	14.4	63.8	1034769118.0	212048573.0	583443855.0	50231990.0	0.24.2
Mae-520_S65_R1_001_val_1	2786485.0	86789111.0	91217363.0	1.3	12.9	65.1	1032292477.0	215199358.0	587391337.0	48908823.0	0.24.2
Mae-524_S66_R1_001_val_1	2739203.0	74326562.0	103106398.0	1.1	9.7	64.6	1174012380.0	247677204.0	689679476.0	56483537.0	0.24.2
Mae-525_S67_R1_001_val_1	4550646.0	91474373.0	145727320.0	1.3	9.4	66.1	1536921754.0	335238292.0	885315055.0	74616068.0	0.24.2
Mae-533_S68_R1_001_val_1	4261975.0	122768540.0	149541158.0	1.2	11.5	65.3	1649932321.0	350582612.0	943310242.0	79467794.0	0.24.2
Mae-535_S69_R1_001_val_1	4173610.0	130789414.0	140297056.0	1.2	12.7	64.1	1587367727.0	333718799.0	899787400.0	78601448.0	0.24.2
Mae-537_S70_R1_001_val_1	5502827.0	127219309.0	156759725.0	1.4	10.9	61.3	1815359970.0	388873201.0	1038004042.0	99000866.0	0.24.2
