File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
./Mae-265_S1_R1_001_val_1_bismark_bt2_pe.bam	164686698	4133390	160227108	326200	1			200551596	656812	59227910	532334	49729911	2773175	87631454
./Mae-271_S2_R1_001_val_1_bismark_bt2_pe.bam	129699558	2445398	126952783	301377	0			114419375	409095	33307549	352360	27950800	2591317	49808254
./Mae-275_S3_R1_001_val_1_bismark_bt2_pe.bam	97646130	4143528	93000659	501943	4			165577473	585331	49187370	476541	41007445	3743706	70577080
./Mae-282_S4_R1_001_val_1_bismark_bt2_pe.bam	189156606	6449539	182289293	417774	1			317010313	950017	94703520	770441	79275356	3422900	137888079
./Mae-284_S5_R1_001_val_1_bismark_bt2_pe.bam	137405587	6573795	130515449	316343	0			329694056	829061	98241494	665858	82488374	2660167	144809102
./Mae-286_S6_R1_001_val_1_bismark_bt2_pe.bam	121404588	4357732	116584920	461936	1			180910834	589519	53410861	470296	44733419	3466560	78240179
./Mae-288_S7_R1_001_val_1_bismark_bt2_pe.bam	120582524	5799271	114148416	634837	1			236322738	842598	70214654	679614	58607643	4806149	101172080
./Mae-292_S8_R1_001_val_1_bismark_bt2_pe.bam	105423098	3524200	101522934	375964	2			149550385	504974	44412795	402921	37067585	2880734	64281376
./Mae-299_S9_R1_001_val_1_bismark_bt2_pe.bam	86393734	1770841	84343777	279116	0			71056895	278689	20574959	230084	17211588	2234502	30527073
./Mae-300_S10_R1_001_val_1_bismark_bt2_pe.bam	134365687	4037872	129817963	509852	1			163424465	575020	48041482	453594	40154803	3812598	70386968
./Mae-303_S11_R1_001_val_1_bismark_bt2_pe.bam	122130154	4115392	117537518	477244	0			174721838	596532	51465429	487756	43009496	3786596	75376029
./Mae-304_S12_R1_001_val_1_bismark_bt2_pe.bam	159411326	5871266	152974575	565485	4			254482272	791446	75606917	635320	63138322	4370613	109939654
./Mae-324_S13_R1_001_val_1_bismark_bt2_pe.bam	158690579	4991968	153274791	423820	0			224907773	668271	66696115	524953	55849289	3239532	97929613
./Mae-325_S14_R1_001_val_1_bismark_bt2_pe.bam	129278885	4748505	124119464	410916	1			210717321	636190	62639641	510319	52426293	3088570	91416308
./Mae-331_S15_R1_001_val_1_bismark_bt2_pe.bam	148101318	19382540	128166801	551977	5			1048339552	2451071	315874960	1947490	264218820	4596009	459251202
./Mae-332_S16_R1_001_val_1_bismark_bt2_pe.bam	170479328	4683759	165188286	607283	3			198327832	703168	57972156	593174	48536639	4795651	85727044
./Mae-334_S17_R1_001_val_1_bismark_bt2_pe.bam	109814803	4867454	104496665	450684	1			219151408	705156	65527383	575968	54725085	3350053	94267763
./Mae-337_S18_R1_001_val_1_bismark_bt2_pe.bam	156290953	6343940	149569774	377239	5			311160845	885492	92990113	714958	77889187	3038749	135642346
./Mae-340_S19_R1_001_val_1_bismark_bt2_pe.bam	186447010	5976082	180096157	374771	4			299233868	882536	88662003	713690	74455819	3174286	131345534
./Mae-346_S20_R1_001_val_1_bismark_bt2_pe.bam	161302770	6236166	154644571	422033	4			310159674	1327508	92557160	1067010	77476229	3927068	133804699
./Mae-348_S21_R1_001_val_1_bismark_bt2_pe.bam	184289487	5340751	178379290	569446	0			243269090	865505	71608983	709913	59942754	4601575	105540360
./Mae-351_S22_R1_001_val_1_bismark_bt2_pe.bam	137284665	5391581	131624532	268552	0			274101833	788271	82055094	635961	68749305	2274104	119599098
./Mae-355_S23_R1_001_val_1_bismark_bt2_pe.bam	183094003	9032375	173579354	482274	2			441311392	1190765	132488705	956197	110812237	3744251	192119237
./Mae-358_S24_R1_001_val_1_bismark_bt2_pe.bam	258521324	9176093	248871279	473952	0			456753161	1226269	137454352	991799	114842903	3985076	198252762
./Mae-363_S25_R1_001_val_1_bismark_bt2_pe.bam	131368990	5851779	125290089	227122	4			309339253	864219	93120012	699231	77933006	2030555	134692230
./Mae-364_S26_R1_001_val_1_bismark_bt2_pe.bam	143501751	6358495	136846561	296695	3			320185576	888252	95437328	718731	80094671	2518278	140528316
