"Name","cluster"
"MEAE_00000001","1"
"MEAE_00000004","1"
"MEAE_00000004","1"
"MEAE_00000004","1"
"MEAE_00000004","1"
"MEAE_00000004","2"
"MEAE_00000017","2"
"MEAE_00000004","2"
"MEAE_00000017","2"
"MEAE_00000019","2"
"MEAE_00000020","2"
"MEAE_00000019","1"
"MEAE_00000021","1"
"MEAE_00000019","1"
"MEAE_00000019","1"
"MEAE_00000019","1"
"MEAE_00000019","1"
"MEAE_00000022","2"
"MEAE_00000022","2"
"MEAE_00000023","1"
"MEAE_00000027","2"
"MEAE_00000028","2"
"MEAE_00000027","2"
"MEAE_00000029","1"
"MEAE_00000027","1"
"MEAE_00000029","1"
"MEAE_00000027","1"
"MEAE_00000027","1"
"MEAE_00000037","1"
"MEAE_00000037","1"
"MEAE_00000037","1"
"MEAE_00000037","1"
"MEAE_00000037","1"
"MEAE_00000038","2"
"MEAE_00000042","2"
"MEAE_00000042","2"
"MEAE_00000042","2"
"MEAE_00000042","2"
"MEAE_00000042","2"
"MEAE_00000043","1"
"MEAE_00000043","1"
"MEAE_00000045","2"
"MEAE_00000056","1"
"MEAE_00000058","1"
"MEAE_00000059","1"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","1"
"MEAE_00000059","1"
"MEAE_00000058","2"
"MEAE_00000058","1"
"MEAE_00000063","1"
"MEAE_00000062","1"
"MEAE_00000058","1"
"MEAE_00000063","1"
"MEAE_00000062","1"
"MEAE_00000066","2"
"MEAE_00000067","2"
"MEAE_00000075","2"
"MEAE_00000077","1"
"MEAE_00000077","1"
"MEAE_00000077","1"
"MEAE_00000077","2"
"MEAE_00000080","2"
"MEAE_00000082","2"
"MEAE_00000087","1"
"MEAE_00000087","1"
"MEAE_00000087","2"
"MEAE_00000091","2"
"MEAE_00000087","2"
"MEAE_00000091","2"
"MEAE_00000087","2"
"MEAE_00000091","2"
"MEAE_00000092","2"
"MEAE_00000116","1"
"MEAE_00000117","1"
"MEAE_00000121","1"
"MEAE_00000121","1"
"MEAE_00000122","1"
"MEAE_00000123","1"
"MEAE_00000122","1"
"MEAE_00000123","1"
"MEAE_00000126","1"
"MEAE_00000131","2"
"MEAE_00000131","2"
"MEAE_00000131","2"
"MEAE_00000131","2"
"MEAE_00000132","2"
"MEAE_00000131","2"
"MEAE_00000132","2"
"MEAE_00000131","2"
"MEAE_00000132","2"
"MEAE_00000131","2"
"MEAE_00000132","2"
"MEAE_00000131","2"
"MEAE_00000132","2"
"MEAE_00000131","2"
"MEAE_00000132","2"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000133","1"
"MEAE_00000136","1"
"MEAE_00000139","1"
"MEAE_00000136","1"
"MEAE_00000139","2"
"MEAE_00000136","2"
"MEAE_00000140","2"
"MEAE_00000141","2"
"MEAE_00000146","2"
"MEAE_00000146","2"
"MEAE_00000146","1"
"MEAE_00000148","2"
"MEAE_00000149","1"
"MEAE_00000149","1"
"MEAE_00000160","1"
"MEAE_00000159","1"
"MEAE_00000160","1"
"MEAE_00000159","1"
"MEAE_00000160","1"
"MEAE_00000159","1"
"MEAE_00000161","2"
"MEAE_00000175","2"
"MEAE_00000177","2"
