"Name","cluster"
"MEAE_00000058","1"
"MEAE_00000059","1"
"MEAE_00000126","2"
"MEAE_00000476","2"
"MEAE_00000486","1"
"MEAE_00000607","1"
"MEAE_00000607","2"
"MEAE_00000608","2"
"MEAE_00000608","2"
"MEAE_00000608","1"
"MEAE_00000608","2"
"MEAE_00000785","1"
"MEAE_00000785","1"
"MEAE_00000878","2"
"MEAE_00001119","2"
"MEAE_00001451","2"
"MEAE_00001898","2"
"MEAE_00001983","2"
"MEAE_00001983","1"
"MEAE_00001983","1"
"MEAE_00001985","1"
"MEAE_00002033","1"
"MEAE_00002033","1"
"MEAE_00002033","2"
"MEAE_00002033","2"
"MEAE_00002159","1"
"MEAE_00002313","1"
"MEAE_00002337","1"
"MEAE_00002552","1"
"MEAE_00002630","1"
"MEAE_00003061","2"
"MEAE_00003144","2"
"MEAE_00003145","2"
"MEAE_00003989","2"
"MEAE_00003989","1"
"MEAE_00003989","2"
"MEAE_00004053","2"
"MEAE_00004119","2"
"MEAE_00004266","2"
"MEAE_00004268","2"
"MEAE_00004278","1"
"MEAE_00004476","1"
"MEAE_00004476","1"
"MEAE_00004476","2"
"MEAE_00004800","1"
"MEAE_00005793","1"
"MEAE_00005793","1"
"MEAE_00005793","1"
"MEAE_00005793","2"
"MEAE_00005793","2"
"MEAE_00006174","1"
"MEAE_00006281","1"
"MEAE_00006281","1"
"MEAE_00006531","2"
"MEAE_00006531","1"
"MEAE_00006611","2"
"MEAE_00006611","1"
"MEAE_00006611","2"
"MEAE_00006611","1"
"MEAE_00006611","2"
"MEAE_00006884","1"
"MEAE_00006991","2"
"MEAE_00006992","2"
"MEAE_00007024","2"
"MEAE_00007902","2"
"MEAE_00007906","2"
"MEAE_00007902","2"
"MEAE_00007906","2"
"MEAE_00007979","2"
"MEAE_00007980","2"
"MEAE_00007979","2"
"MEAE_00007980","2"
"MEAE_00007979","1"
"MEAE_00007980","1"
"MEAE_00007979","2"
"MEAE_00007980","2"
"MEAE_00008472","1"
"MEAE_00008478","2"
"MEAE_00008499","1"
"MEAE_00008500","1"
"MEAE_00008499","1"
"MEAE_00008500","1"
"MEAE_00008558","2"
"MEAE_00008558","2"
"MEAE_00008558","2"
"MEAE_00008558","1"
"MEAE_00008558","1"
"MEAE_00008558","1"
"MEAE_00008558","1"
"MEAE_00008558","1"
"MEAE_00008558","1"
"MEAE_00008558","1"
"MEAE_00008635","2"
"MEAE_00008711","2"
"MEAE_00008746","1"
"MEAE_00009365","2"
"MEAE_00009848","1"
"MEAE_00009847","1"
"MEAE_00009905","2"
"MEAE_00009908","2"
"MEAE_00009905","1"
"MEAE_00009951","2"
"MEAE_00009951","2"
"MEAE_00009951","1"
"MEAE_00009967","2"
"MEAE_00010187","1"
"MEAE_00010186","1"
"MEAE_00010214","2"
"MEAE_00010214","2"
"MEAE_00010351","2"
"MEAE_00010413","2"
"MEAE_00010410","2"
"MEAE_00010439","1"
"MEAE_00010429","1"
"MEAE_00011132","2"
"MEAE_00011132","2"
"MEAE_00011132","2"
"MEAE_00011299","1"
"MEAE_00011317","2"
"MEAE_00011380","2"
"MEAE_00011592","2"
"MEAE_00011592","1"
"MEAE_00011592","1"
"MEAE_00011708","2"
"MEAE_00011847","2"
"MEAE_00011847","2"
"MEAE_00012488","2"
"MEAE_00012521","1"
"MEAE_00012522","1"
"MEAE_00012788","1"
"MEAE_00013334","2"
"MEAE_00013342","2"
"MEAE_00013458","1"
"MEAE_00013543","1"
"MEAE_00013543","1"
"MEAE_00013543","1"
"MEAE_00013741","2"
"MEAE_00013839","2"
"MEAE_00013844","2"
"MEAE_00013906","2"
"MEAE_00013904","2"
"MEAE_00013907","2"
"MEAE_00013907","2"
"MEAE_00014048","1"
"MEAE_00014048","2"
"MEAE_00014103","1"
"MEAE_00014101","1"
"MEAE_00014302","2"
"MEAE_00014347","2"
"MEAE_00014347","2"
"MEAE_00014815","1"
"MEAE_00014921","1"
"MEAE_00015831","1"
"MEAE_00016405","2"
"MEAE_00016429","2"
"MEAE_00016429","2"
"MEAE_00016429","2"
"MEAE_00016452","1"
"MEAE_00016451","1"
"MEAE_00016566","2"
"MEAE_00016566","2"
"MEAE_00016616","1"
"MEAE_00016614","1"
"MEAE_00016705","2"
"MEAE_00016705","2"
"MEAE_00016787","1"
"MEAE_00016785","1"
"MEAE_00016967","1"
"MEAE_00017252","2"
"MEAE_00017332","2"
"MEAE_00017342","2"
"MEAE_00017343","2"
"MEAE_00017342","2"
"MEAE_00017343","2"
"MEAE_00017571","2"
"MEAE_00017662","1"
"MEAE_00017662","1"
"MEAE_00017936","2"
"MEAE_00017936","2"
"MEAE_00017936","2"
"MEAE_00017936","1"
"MEAE_00018143","2"
"MEAE_00018215","2"
"MEAE_00018215","2"
"MEAE_00018215","2"
"MEAE_00018216","2"
