"Name","cluster"
"MEAE_00021616","1"
"MEAE_00005062","1"
"MEAE_00005066","1"
"MEAE_00002848","2"
"MEAE_00062894","2"
"MEAE_00027779","2"
"MEAE_00048934","2"
"MEAE_00090924","2"
"MEAE_00012715","1"
"MEAE_00012717","1"
"MEAE_00041759","1"
"MEAE_00093789","1"
"MEAE_00085188","2"
"MEAE_00085186","2"
"MEAE_00023909","1"
"MEAE_00023910","1"
"MEAE_00008558","2"
"MEAE_00009712","2"
"MEAE_00009713","2"
"MEAE_00014179","1"
"MEAE_00046174","2"
"MEAE_00046175","2"
"MEAE_00043566","2"
"MEAE_00044882","2"
"MEAE_00065338","1"
"MEAE_00065341","1"
"MEAE_00079740","1"
"MEAE_00079739","1"
"MEAE_00031975","1"
"MEAE_00095067","1"
"MEAE_00095068","1"
"MEAE_00012743","1"
"MEAE_00012744","1"
"MEAE_00048558","1"
"MEAE_00094069","1"
"MEAE_00091486","1"
"MEAE_00010996","1"
"MEAE_00010995","1"
"MEAE_00090778","2"
"MEAE_00090777","2"
"MEAE_00087800","1"
"MEAE_00087799","1"
"MEAE_00002724","1"
"MEAE_00003772","2"
"MEAE_00093292","2"
"MEAE_00094647","1"
"MEAE_00010508","1"
"MEAE_00010510","1"
"MEAE_00005723","1"
"MEAE_00085130","2"
"MEAE_00046912","2"
"MEAE_00046911","2"
"MEAE_00057439","2"
"MEAE_00057440","2"
"MEAE_00091263","2"
"MEAE_00092115","2"
"MEAE_00042377","2"
"MEAE_00050728","1"
"MEAE_00075670","2"
"MEAE_00062655","2"
"MEAE_00059253","1"
"MEAE_00087302","1"
"MEAE_00070687","2"
"MEAE_00070686","2"
"MEAE_00095067","1"
"MEAE_00095068","1"
"MEAE_00088868","2"
"MEAE_00060888","2"
"MEAE_00091169","2"
"MEAE_00003178","1"
"MEAE_00003185","1"
"MEAE_00089969","1"
"MEAE_00052063","1"
"MEAE_00052067","1"
"MEAE_00012857","1"
"MEAE_00093789","1"
"MEAE_00016040","1"
"MEAE_00019118","1"
"MEAE_00019122","1"
"MEAE_00010790","2"
"MEAE_00093192","2"
"MEAE_00010369","1"
"MEAE_00010370","1"
"MEAE_00003676","1"
"MEAE_00092659","2"
"MEAE_00008145","1"
"MEAE_00008146","1"
"MEAE_00068914","1"
"MEAE_00017936","1"
"MEAE_00058483","1"
"MEAE_00051835","1"
"MEAE_00051832","1"
"MEAE_00027856","1"
"MEAE_00068913","1"
"MEAE_00068912","1"
"MEAE_00055779","1"
"MEAE_00048699","1"
"MEAE_00048707","1"
"MEAE_00084821","1"
"MEAE_00006318","1"
"MEAE_00006319","1"
"MEAE_00007180","1"
"MEAE_00038435","2"
"MEAE_00038431","2"
"MEAE_00020745","1"
"MEAE_00079158","2"
"MEAE_00079159","2"
"MEAE_00000146","2"
"MEAE_00026632","1"
"MEAE_00026631","1"
"MEAE_00073866","1"
"MEAE_00073865","1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"1"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
NA,"2"
