"Name","cluster"
"MEAE_00000001","2"
"MEAE_00000001","2"
"MEAE_00000001","2"
"MEAE_00000001","2"
"MEAE_00000004","2"
"MEAE_00000004","2"
"MEAE_00000004","2"
"MEAE_00000004","2"
"MEAE_00000004","2"
"MEAE_00000004","1"
"MEAE_00000012","1"
"MEAE_00000004","1"
"MEAE_00000012","1"
"MEAE_00000004","1"
"MEAE_00000012","1"
"MEAE_00000004","1"
"MEAE_00000013","1"
"MEAE_00000004","2"
"MEAE_00000013","2"
"MEAE_00000004","2"
"MEAE_00000013","2"
"MEAE_00000004","2"
"MEAE_00000013","2"
"MEAE_00000004","1"
"MEAE_00000019","1"
"MEAE_00000020","1"
"MEAE_00000019","1"
"MEAE_00000020","1"
"MEAE_00000019","2"
"MEAE_00000021","2"
"MEAE_00000019","2"
"MEAE_00000019","2"
"MEAE_00000019","2"
"MEAE_00000019","2"
"MEAE_00000019","1"
"MEAE_00000025","2"
"MEAE_00000028","1"
"MEAE_00000027","1"
"MEAE_00000028","1"
"MEAE_00000027","1"
"MEAE_00000028","1"
"MEAE_00000027","1"
"MEAE_00000028","1"
"MEAE_00000027","1"
"MEAE_00000028","1"
"MEAE_00000027","1"
"MEAE_00000027","2"
"MEAE_00000027","2"
"MEAE_00000027","2"
"MEAE_00000032","2"
"MEAE_00000037","2"
"MEAE_00000042","1"
"MEAE_00000042","1"
"MEAE_00000042","1"
"MEAE_00000042","1"
"MEAE_00000042","1"
"MEAE_00000042","1"
"MEAE_00000043","2"
"MEAE_00000043","2"
"MEAE_00000043","2"
"MEAE_00000043","2"
"MEAE_00000043","2"
"MEAE_00000043","2"
"MEAE_00000049","2"
"MEAE_00000056","2"
"MEAE_00000056","1"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","1"
"MEAE_00000059","1"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","2"
"MEAE_00000059","2"
"MEAE_00000058","1"
"MEAE_00000058","2"
"MEAE_00000058","2"
"MEAE_00000063","2"
"MEAE_00000062","2"
"MEAE_00000058","1"
"MEAE_00000063","1"
"MEAE_00000062","1"
"MEAE_00000058","2"
"MEAE_00000063","2"
"MEAE_00000062","2"
"MEAE_00000058","2"
"MEAE_00000063","2"
"MEAE_00000062","2"
"MEAE_00000064","1"
"MEAE_00000065","1"
"MEAE_00000066","2"
"MEAE_00000067","2"
"MEAE_00000069","2"
"MEAE_00000070","2"
"MEAE_00000077","2"
"MEAE_00000077","2"
"MEAE_00000077","1"
"MEAE_00000080","2"
"MEAE_00000082","2"
"MEAE_00000080","1"
"MEAE_00000087","2"
"MEAE_00000087","1"
"MEAE_00000091","1"
"MEAE_00000087","1"
"MEAE_00000091","1"
"MEAE_00000092","1"
"MEAE_00000092","1"
"MEAE_00000101","2"
"MEAE_00000101","1"
"MEAE_00000101","2"
"MEAE_00000103","2"
"MEAE_00000104","2"
"MEAE_00000104","2"
"MEAE_00000110","2"
"MEAE_00000110","2"
"MEAE_00000111","2"
"MEAE_00000113","2"
"MEAE_00000113","2"
"MEAE_00000116","2"
"MEAE_00000116","1"
"MEAE_00000119","2"
"MEAE_00000119","2"
"MEAE_00000119","2"
"MEAE_00000119","2"
"MEAE_00000121","2"
"MEAE_00000122","2"
"MEAE_00000123","2"
"MEAE_00000122","2"
"MEAE_00000123","2"
"MEAE_00000122","2"
"MEAE_00000123","2"
"MEAE_00000122","2"
"MEAE_00000123","2"
"MEAE_00000122","2"
"MEAE_00000123","2"
"MEAE_00000126","1"
"MEAE_00000130","1"
"MEAE_00000131","1"
"MEAE_00000131","1"
"MEAE_00000131","1"
"MEAE_00000131","1"
"MEAE_00000131","1"
"MEAE_00000131","1"
"MEAE_00000131","1"
"MEAE_00000132","1"
"MEAE_00000131","1"
"MEAE_00000132","1"
"MEAE_00000131","1"
"MEAE_00000132","1"
"MEAE_00000131","1"
"MEAE_00000132","1"
"MEAE_00000131","1"
"MEAE_00000132","1"
"MEAE_00000132","1"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000133","2"
"MEAE_00000135","2"
"MEAE_00000135","2"
"MEAE_00000136","2"
"MEAE_00000136","2"
"MEAE_00000136","2"
"MEAE_00000139","1"
"MEAE_00000136","1"
"MEAE_00000141","1"
"MEAE_00000148","1"
"MEAE_00000149","2"
"MEAE_00000149","2"
"MEAE_00000157","1"
"MEAE_00000161","1"
"MEAE_00000161","1"
"MEAE_00000161","1"
"MEAE_00000168","2"
"MEAE_00000168","2"
"MEAE_00000168","2"
"MEAE_00000175","1"
"MEAE_00000177","1"
"MEAE_00000175","2"
"MEAE_00000175","1"
"MEAE_00000175","2"
"MEAE_00000175","1"
"MEAE_00000196","1"
"MEAE_00000175","2"
"MEAE_00000196","2"
"MEAE_00000175","2"
"MEAE_00000175","2"
"MEAE_00000175","2"
"MEAE_00000175","2"
"MEAE_00000203","1"
"MEAE_00000204","1"
"MEAE_00000203","1"
"MEAE_00000204","1"
"MEAE_00000203","1"
"MEAE_00000205","1"
"MEAE_00000203","2"
"MEAE_00000203","2"
"MEAE_00000206","2"
"MEAE_00000203","2"
"MEAE_00000206","2"
"MEAE_00000203","2"
"MEAE_00000206","2"
"MEAE_00000203","2"
"MEAE_00000206","2"
"MEAE_00000203","2"
"MEAE_00000206","2"
"MEAE_00000209","2"
"MEAE_00000209","2"
"MEAE_00000212","1"
"MEAE_00000213","1"
"MEAE_00000212","2"
"MEAE_00000213","2"
"MEAE_00000212","1"
"MEAE_00000213","1"
"MEAE_00000212","2"
"MEAE_00000213","2"
"MEAE_00000213","2"
"MEAE_00000214","1"
"MEAE_00000214","2"
"MEAE_00000214","2"
"MEAE_00000214","2"
"MEAE_00000221","2"
"MEAE_00000223","2"
"MEAE_00000222","2"
"MEAE_00000223","2"
"MEAE_00000240","2"
"MEAE_00000244","2"
"MEAE_00000240","2"
"MEAE_00000240","1"
"MEAE_00000246","1"
"MEAE_00000240","2"
"MEAE_00000240","2"
"MEAE_00000248","2"
"MEAE_00000251","2"
"MEAE_00000251","1"
"MEAE_00000251","1"
"MEAE_00000251","1"
"MEAE_00000251","1"
"MEAE_00000251","1"
"MEAE_00000251","1"
"MEAE_00000252","1"
"MEAE_00000251","1"
"MEAE_00000252","1"
"MEAE_00000251","1"
"MEAE_00000251","2"
"MEAE_00000254","2"
"MEAE_00000253","2"
"MEAE_00000254","2"
"MEAE_00000253","2"
"MEAE_00000254","2"
"MEAE_00000253","2"
"MEAE_00000255","2"
"MEAE_00000255","1"
"MEAE_00000261","1"
"MEAE_00000261","1"
"MEAE_00000261","2"
"MEAE_00000263","2"
"MEAE_00000261","2"
"MEAE_00000263","2"
"MEAE_00000270","2"
"MEAE_00000269","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000273","2"
"MEAE_00000274","1"
"MEAE_00000274","1"
"MEAE_00000277","1"
"MEAE_00000274","1"
"MEAE_00000277","1"
"MEAE_00000278","1"
"MEAE_00000281","1"
"MEAE_00000280","1"
"MEAE_00000280","1"
"MEAE_00000280","1"
"MEAE_00000282","1"
"MEAE_00000284","1"
"MEAE_00000284","2"
"MEAE_00000285","1"
