"Name","cluster"
"MEAE_00000758","2"
"MEAE_00000760","2"
"MEAE_00001767","2"
"MEAE_00001778","2"
"MEAE_00001898","2"
"MEAE_00003676","2"
"MEAE_00004088","2"
"MEAE_00004093","2"
"MEAE_00004800","1"
"MEAE_00006225","2"
"MEAE_00007339","2"
"MEAE_00007701","1"
"MEAE_00008145","2"
"MEAE_00008146","2"
"MEAE_00008558","1"
"MEAE_00013440","1"
"MEAE_00013624","2"
"MEAE_00014111","2"
"MEAE_00014362","2"
"MEAE_00014364","2"
"MEAE_00014593","1"
"MEAE_00014594","1"
"MEAE_00015658","1"
"MEAE_00015659","1"
"MEAE_00015828","2"
"MEAE_00016556","2"
"MEAE_00019050","2"
"MEAE_00020251","2"
"MEAE_00020252","2"
"MEAE_00020984","2"
"MEAE_00020988","2"
"MEAE_00021209","1"
"MEAE_00022384","2"
"MEAE_00024370","2"
"MEAE_00025392","1"
"MEAE_00025448","2"
"MEAE_00026666","2"
"MEAE_00026676","2"
"MEAE_00029802","2"
"MEAE_00029803","2"
"MEAE_00030892","2"
"MEAE_00030893","2"
"MEAE_00032654","1"
"MEAE_00032655","1"
"MEAE_00034771","2"
"MEAE_00040162","2"
"MEAE_00040168","2"
"MEAE_00041060","2"
"MEAE_00041273","2"
"MEAE_00043302","2"
"MEAE_00044129","1"
"MEAE_00044131","1"
"MEAE_00044686","1"
"MEAE_00048414","2"
"MEAE_00048518","2"
"MEAE_00048520","2"
"MEAE_00049082","1"
"MEAE_00049445","2"
"MEAE_00049448","2"
"MEAE_00050382","2"
"MEAE_00050383","2"
"MEAE_00051009","2"
"MEAE_00051013","2"
"MEAE_00051014","2"
"MEAE_00051137","2"
"MEAE_00051143","2"
"MEAE_00053836","1"
"MEAE_00053837","1"
"MEAE_00054462","2"
"MEAE_00054740","2"
"MEAE_00055662","2"
"MEAE_00055779","2"
"MEAE_00055885","2"
"MEAE_00055886","2"
"MEAE_00055932","2"
"MEAE_00057149","2"
"MEAE_00059217","1"
"MEAE_00059218","1"
"MEAE_00059631","2"
"MEAE_00059632","2"
"MEAE_00061674","2"
"MEAE_00061675","2"
"MEAE_00061954","2"
"MEAE_00063876","2"
"MEAE_00065167","2"
"MEAE_00065471","2"
"MEAE_00066412","2"
"MEAE_00066413","2"
"MEAE_00067044","1"
"MEAE_00068798","2"
"MEAE_00068799","2"
"MEAE_00071285","1"
"MEAE_00073566","2"
"MEAE_00073567","2"
"MEAE_00073693","2"
"MEAE_00073694","2"
"MEAE_00074859","2"
"MEAE_00075934","2"
"MEAE_00078811","2"
"MEAE_00079069","2"
"MEAE_00079387","2"
"MEAE_00080503","2"
"MEAE_00080505","2"
"MEAE_00086331","2"
"MEAE_00087006","2"
"MEAE_00087423","1"
"MEAE_00087424","1"
"MEAE_00087747","1"
"MEAE_00093149","2"
"MEAE_00093707","2"
"MEAE_00094308","1"
"MEAE_00096500","1"
