"","Loc","feature_type"
"1","ENA|OLKM01000001|OLKM01000001.1 7659","CDS"
"2","ENA|OLKM01000001|OLKM01000001.1 7811","CDS"
"3","ENA|OLKM01000001|OLKM01000001.1 7819","CDS"
"4","ENA|OLKM01000001|OLKM01000001.1 7828","CDS"
"5","ENA|OLKM01000001|OLKM01000001.1 7855","Terminator"
"6","ENA|OLKM01000001|OLKM01000001.1 32570","Intron"
"7","ENA|OLKM01000001|OLKM01000001.1 32578","Intron"
"8","ENA|OLKM01000001|OLKM01000001.1 32581","Intron"
"9","ENA|OLKM01000001|OLKM01000001.1 32589","Intron"
"10","ENA|OLKM01000001|OLKM01000001.1 32618","Intron"
"11","ENA|OLKM01000001|OLKM01000001.1 64495","CDS"
"12","ENA|OLKM01000001|OLKM01000001.1 64518","CDS"
"13","ENA|OLKM01000001|OLKM01000001.1 64530","CDS"
"14","ENA|OLKM01000001|OLKM01000001.1 73692","Intron"
"15","ENA|OLKM01000001|OLKM01000001.1 73792","Intron"
"16","ENA|OLKM01000001|OLKM01000001.1 75320","Intron"
"17","ENA|OLKM01000001|OLKM01000001.1 75551","Intron"
"18","ENA|OLKM01000001|OLKM01000001.1 111347","CDS"
"19","ENA|OLKM01000001|OLKM01000001.1 124934","CDS"
"20","ENA|OLKM01000001|OLKM01000001.1 124994","CDS"
"21","ENA|OLKM01000001|OLKM01000001.1 135486","Intron"
"22","ENA|OLKM01000001|OLKM01000001.1 137011","Intron"
"23","ENA|OLKM01000001|OLKM01000001.1 137100","Intron"
"24","ENA|OLKM01000001|OLKM01000001.1 137161","Intron"
"25","ENA|OLKM01000001|OLKM01000001.1 138388","Intron"
"26","ENA|OLKM01000001|OLKM01000001.1 145894","UTR5"
"27","ENA|OLKM01000001|OLKM01000001.1 167150","Intron"
"28","ENA|OLKM01000001|OLKM01000001.1 184953","Other"
"29","ENA|OLKM01000001|OLKM01000001.1 196108","Intron"
"30","ENA|OLKM01000001|OLKM01000001.1 196153","Intron"
"31","ENA|OLKM01000001|OLKM01000001.1 196385","CDS"
"32","ENA|OLKM01000001|OLKM01000001.1 196407","CDS"
"33","ENA|OLKM01000001|OLKM01000001.1 197993","CDS"
"34","ENA|OLKM01000001|OLKM01000001.1 200528","CDS"
"35","ENA|OLKM01000001|OLKM01000001.1 207345","Intron"
"36","ENA|OLKM01000001|OLKM01000001.1 214852","Intron"
"37","ENA|OLKM01000001|OLKM01000001.1 224110","Other"
"38","ENA|OLKM01000001|OLKM01000001.1 224712","Other"
"39","ENA|OLKM01000001|OLKM01000001.1 224734","Other"
"40","ENA|OLKM01000001|OLKM01000001.1 227144","Other"
"41","ENA|OLKM01000001|OLKM01000001.1 227184","Other"
"42","ENA|OLKM01000001|OLKM01000001.1 230893","CDS"
"43","ENA|OLKM01000001|OLKM01000001.1 233478","Terminator"
"44","ENA|OLKM01000001|OLKM01000001.1 236744","Other"
"45","ENA|OLKM01000001|OLKM01000001.1 257663","Intron"
"46","ENA|OLKM01000001|OLKM01000001.1 282725","CDS"
"47","ENA|OLKM01000001|OLKM01000001.1 282791","CDS"
"48","ENA|OLKM01000001|OLKM01000001.1 282885","CDS"
"49","ENA|OLKM01000001|OLKM01000001.1 282995","CDS"
"50","ENA|OLKM01000001|OLKM01000001.1 283241","CDS"
"51","ENA|OLKM01000001|OLKM01000001.1 283601","CDS"
"52","ENA|OLKM01000001|OLKM01000001.1 285143","Other"
"53","ENA|OLKM01000001|OLKM01000001.1 285715","CDS"
"54","ENA|OLKM01000001|OLKM01000001.1 285734","CDS"
"55","ENA|OLKM01000001|OLKM01000001.1 285786","Intron"
"56","ENA|OLKM01000001|OLKM01000001.1 285796","Intron"
"57","ENA|OLKM01000001|OLKM01000001.1 285855","Intron"
"58","ENA|OLKM01000001|OLKM01000001.1 285897","Intron"
"59","ENA|OLKM01000001|OLKM01000001.1 300564","Other"
"60","ENA|OLKM01000001|OLKM01000001.1 300627","Other"
"61","ENA|OLKM01000001|OLKM01000001.1 321572","Intron"
"62","ENA|OLKM01000001|OLKM01000001.1 353012","CDS"
"63","ENA|OLKM01000001|OLKM01000001.1 367560","Intron"
"64","ENA|OLKM01000001|OLKM01000001.1 378294","Other"
"65","ENA|OLKM01000001|OLKM01000001.1 388567","Other"
"66","ENA|OLKM01000001|OLKM01000001.1 388570","Other"
"67","ENA|OLKM01000001|OLKM01000001.1 400115","Intron"
"68","ENA|OLKM01000001|OLKM01000001.1 404793","Intron"
"69","ENA|OLKM01000001|OLKM01000001.1 407431","Intron"
"70","ENA|OLKM01000001|OLKM01000001.1 434367","CDS"
"71","ENA|OLKM01000001|OLKM01000001.1 437662","CDS"
"72","ENA|OLKM01000001|OLKM01000001.1 460492","Intron"
"73","ENA|OLKM01000001|OLKM01000001.1 463729","Intron"
"74","ENA|OLKM01000001|OLKM01000001.1 472338","CDS"
"75","ENA|OLKM01000001|OLKM01000001.1 472379","CDS"
"76","ENA|OLKM01000001|OLKM01000001.1 472400","CDS"
"77","ENA|OLKM01000001|OLKM01000001.1 472421","CDS"
"78","ENA|OLKM01000001|OLKM01000001.1 477135","Intron"
"79","ENA|OLKM01000001|OLKM01000001.1 483988","CDS"
"80","ENA|OLKM01000001|OLKM01000001.1 493030","CDS"
"81","ENA|OLKM01000001|OLKM01000001.1 521938","Other"
"82","ENA|OLKM01000001|OLKM01000001.1 533774","Other"
"83","ENA|OLKM01000001|OLKM01000001.1 533838","Other"
"84","ENA|OLKM01000001|OLKM01000001.1 536009","Other"
"85","ENA|OLKM01000001|OLKM01000001.1 538537","Intron"
"86","ENA|OLKM01000001|OLKM01000001.1 542559","Intron"
"87","ENA|OLKM01000001|OLKM01000001.1 561424","UTR5"
"88","ENA|OLKM01000001|OLKM01000001.1 588263","Intron"
"89","ENA|OLKM01000001|OLKM01000001.1 605667","Intron"
"90","ENA|OLKM01000001|OLKM01000001.1 660366","Other"
"91","ENA|OLKM01000001|OLKM01000001.1 703731","Intron"
"92","ENA|OLKM01000001|OLKM01000001.1 714254","CDS"
"93","ENA|OLKM01000001|OLKM01000001.1 714280","CDS"
"94","ENA|OLKM01000001|OLKM01000001.1 733161","Intron"
"95","ENA|OLKM01000001|OLKM01000001.1 733418","CDS"
"96","ENA|OLKM01000001|OLKM01000001.1 775067","Intron"
"97","ENA|OLKM01000001|OLKM01000001.1 775120","CDS"
"98","ENA|OLKM01000001|OLKM01000001.1 782178","Intron"
"99","ENA|OLKM01000001|OLKM01000001.1 795664","CDS"
"100","ENA|OLKM01000001|OLKM01000001.1 795765","CDS"
"101","ENA|OLKM01000001|OLKM01000001.1 840562","Intron"
"102","ENA|OLKM01000001|OLKM01000001.1 842237","CDS"
"103","ENA|OLKM01000001|OLKM01000001.1 852564","Terminator"
"104","ENA|OLKM01000001|OLKM01000001.1 867049","Intron"
"105","ENA|OLKM01000001|OLKM01000001.1 867053","Intron"
"106","ENA|OLKM01000001|OLKM01000001.1 894667","Intron"
"107","ENA|OLKM01000001|OLKM01000001.1 918549","Intron"
"108","ENA|OLKM01000001|OLKM01000001.1 924965","UTR5"
"109","ENA|OLKM01000001|OLKM01000001.1 925120","UTR5"
"110","ENA|OLKM01000001|OLKM01000001.1 925237","UTR5"
"111","ENA|OLKM01000001|OLKM01000001.1 925247","UTR5"
"112","ENA|OLKM01000001|OLKM01000001.1 938496","Intron"
"113","ENA|OLKM01000001|OLKM01000001.1 944061","Intron"
"114","ENA|OLKM01000001|OLKM01000001.1 945793","Intron"
"115","ENA|OLKM01000001|OLKM01000001.1 945812","Intron"
"116","ENA|OLKM01000001|OLKM01000001.1 945829","Intron"
"117","ENA|OLKM01000001|OLKM01000001.1 946872","Intron"
"118","ENA|OLKM01000001|OLKM01000001.1 964745","Other"
"119","ENA|OLKM01000001|OLKM01000001.1 964769","Other"
"120","ENA|OLKM01000001|OLKM01000001.1 965945","Other"
"121","ENA|OLKM01000001|OLKM01000001.1 965950","Other"
"122","ENA|OLKM01000001|OLKM01000001.1 991910","CDS"
"123","ENA|OLKM01000001|OLKM01000001.1 998524","Other"
"124","ENA|OLKM01000001|OLKM01000001.1 998554","Other"
"125","ENA|OLKM01000001|OLKM01000001.1 1015473","Other"
"126","ENA|OLKM01000001|OLKM01000001.1 1017356","CDS"
"127","ENA|OLKM01000001|OLKM01000001.1 1019905","Promoter"
"128","ENA|OLKM01000001|OLKM01000001.1 1019954","Promoter"
"129","ENA|OLKM01000001|OLKM01000001.1 1019962","Promoter"
"130","ENA|OLKM01000001|OLKM01000001.1 1020145","CDS"
"131","ENA|OLKM01000001|OLKM01000001.1 1020154","CDS"
"132","ENA|OLKM01000001|OLKM01000001.1 1020172","CDS"
"133","ENA|OLKM01000001|OLKM01000001.1 1020281","CDS"
"134","ENA|OLKM01000001|OLKM01000001.1 1020428","CDS"
