"","Loc","scaffold","position","gff_scaffold","scaffold.1","V2","feature_type","start","end","V6","V7","V8","ID","Name","Alias","Note"
"1","OLKM01000005.1 23516","OLKM01000005.1",23517,"MeA_20160214_scaffold_4","OLKM01000005.1","maker","gene",20950,28012,".","+",".","ID=MEAE_00000760","MEAE_00000760","Alias=genemark-MeA_20160214_scaffold_4-processed-gene-0.5","Similar to METTL24: Methyltransferase-like protein 24 (Homo sapiens)"
"1.2","OLKM01000005.1 23516","OLKM01000005.1",23517,"MeA_20160214_scaffold_4","OLKM01000005.1","maker","gene",10917,25171,".","-",".","ID=MEAE_00000758","MEAE_00000758","Alias=snap_masked-MeA_20160214_scaffold_4-processed-gene-0.102","Protein of unknown function"
"2","OLKM01000011.1 711438","OLKM01000011.1",711439,"MeA_20160214_scaffold_10","OLKM01000011.1","maker","gene",708929,713853,".","+",".","ID=MEAE_00001778","MEAE_00001778","Alias=maker-MeA_20160214_scaffold_10-snap-gene-2.449","Protein of unknown function"
"2.2","OLKM01000011.1 711438","OLKM01000011.1",711439,"MeA_20160214_scaffold_10","OLKM01000011.1","maker","gene",649606,745590,".","-",".","ID=MEAE_00001767","MEAE_00001767","Alias=maker-MeA_20160214_scaffold_10-snap-gene-2.478","Similar to zgc:153454: Mediator of RNA polymerase II transcription subunit 13-like (Danio rerio)"
"3","OLKM01000012.1 769865","OLKM01000012.1",769866,"MeA_20160214_scaffold_11","OLKM01000012.1","maker","gene",737521,827291,".","+",".","ID=MEAE_00001898","MEAE_00001898","Alias=maker-MeA_20160214_scaffold_11-snap-gene-2.221","Similar to ATP13A3: Probable cation-transporting ATPase 13A3 (Homo sapiens)"
"4","OLKM01000027.1 477807","OLKM01000027.1",477808,"MeA_20160214_scaffold_26","OLKM01000027.1","maker","gene",379651,486754,".","+",".","ID=MEAE_00003676","MEAE_00003676","Alias=maker-MeA_20160214_scaffold_26-snap-gene-1.395","Similar to SEMA6D: Semaphorin-6D (Pongo abelii)"
"5","OLKM01000031.1 48844","OLKM01000031.1",48845,"MeA_20160214_scaffold_30","OLKM01000031.1","maker","gene",1553,51247,".","+",".","ID=MEAE_00004088","MEAE_00004088","Alias=maker-MeA_20160214_scaffold_30-snap-gene-0.26","Similar to SORL1: Sortilin-related receptor (Oryctolagus cuniculus)"
"5.2","OLKM01000031.1 48844","OLKM01000031.1",48845,"MeA_20160214_scaffold_30","OLKM01000031.1","maker","gene",44985,49678,".","-",".","ID=MEAE_00004093","MEAE_00004093","Alias=snap_masked-MeA_20160214_scaffold_30-processed-gene-1.221","Protein of unknown function"
"6","OLKM01000038.1 181666","OLKM01000038.1",181667,"MeA_20160214_scaffold_37","OLKM01000038.1","maker","gene",170859,186884,".","-",".","ID=MEAE_00004800","MEAE_00004800","Alias=maker-MeA_20160214_scaffold_37-augustus-gene-0.137","Similar to SFRP2: Secreted frizzled-related protein 2 (Canis lupus familiaris)"
"7","OLKM01000051.1 245802","OLKM01000051.1",245803,"MeA_20160214_scaffold_50","OLKM01000051.1","maker","gene",242713,283080,".","-",".","ID=MEAE_00006225","MEAE_00006225","Alias=maker-MeA_20160214_scaffold_50-snap-gene-1.401","Similar to klhl21: Kelch-like protein 21 (Danio rerio)"
