"","Loc","feature_type"
"1","ENA|OLKM01000002|OLKM01000002.1 1260215","Intron"
"2","ENA|OLKM01000003|OLKM01000003.1 929370","Intron"
"3","ENA|OLKM01000003|OLKM01000003.1 1305712","Intron"
"4","ENA|OLKM01000003|OLKM01000003.1 1305733","Intron"
"5","ENA|OLKM01000003|OLKM01000003.1 1309466","CDS"
"6","ENA|OLKM01000003|OLKM01000003.1 1318584","CDS"
"7","ENA|OLKM01000004|OLKM01000004.1 193901","Other"
"8","ENA|OLKM01000004|OLKM01000004.1 193905","Other"
"9","ENA|OLKM01000004|OLKM01000004.1 767209","Other"
"10","ENA|OLKM01000005|OLKM01000005.1 226318","CDS"
"11","ENA|OLKM01000006|OLKM01000006.1 154902","Other"
"12","ENA|OLKM01000006|OLKM01000006.1 1053909","CDS"
"13","ENA|OLKM01000012|OLKM01000012.1 798347","CDS"
"14","ENA|OLKM01000013|OLKM01000013.1 391070","Intron"
"15","ENA|OLKM01000013|OLKM01000013.1 391898","Intron"
"16","ENA|OLKM01000013|OLKM01000013.1 780036","Intron"
"17","ENA|OLKM01000013|OLKM01000013.1 780045","Intron"
"18","ENA|OLKM01000018|OLKM01000018.1 662610","Intron"
"19","ENA|OLKM01000022|OLKM01000022.1 4159","Other"
"20","ENA|OLKM01000022|OLKM01000022.1 825159","Intron"
"21","ENA|OLKM01000022|OLKM01000022.1 850674","Intron"
"22","ENA|OLKM01000024|OLKM01000024.1 125919","Other"
"23","ENA|OLKM01000029|OLKM01000029.1 536273","Intron"
"24","ENA|OLKM01000029|OLKM01000029.1 536278","Intron"
"25","ENA|OLKM01000029|OLKM01000029.1 536298","Intron"
"26","ENA|OLKM01000030|OLKM01000030.1 75902","CDS"
"27","ENA|OLKM01000030|OLKM01000030.1 511053","Intron"
"28","ENA|OLKM01000031|OLKM01000031.1 662684","Other"
"29","ENA|OLKM01000033|OLKM01000033.1 63272","Intron"
"30","ENA|OLKM01000033|OLKM01000033.1 623712","Other"
"31","ENA|OLKM01000034|OLKM01000034.1 741554","Intron"
"32","ENA|OLKM01000038|OLKM01000038.1 181666","Intron"
"33","ENA|OLKM01000039|OLKM01000039.1 475482","CDS"
"34","ENA|OLKM01000042|OLKM01000042.1 243342","Intron"
"35","ENA|OLKM01000042|OLKM01000042.1 373561","Other"
"36","ENA|OLKM01000046|OLKM01000046.1 547462","Other"
"37","ENA|OLKM01000046|OLKM01000046.1 547472","Other"
"38","ENA|OLKM01000046|OLKM01000046.1 548666","CDS"
"39","ENA|OLKM01000046|OLKM01000046.1 549609","Intron"
"40","ENA|OLKM01000046|OLKM01000046.1 570688","Other"
"41","ENA|OLKM01000046|OLKM01000046.1 570702","Other"
"42","ENA|OLKM01000046|OLKM01000046.1 570754","Other"
"43","ENA|OLKM01000050|OLKM01000050.1 611895","Other"
"44","ENA|OLKM01000051|OLKM01000051.1 445392","CDS"
"45","ENA|OLKM01000052|OLKM01000052.1 174668","Intron"
"46","ENA|OLKM01000054|OLKM01000054.1 27746","Intron"
"47","ENA|OLKM01000054|OLKM01000054.1 322722","Intron"
"48","ENA|OLKM01000054|OLKM01000054.1 553215","Intron"
"49","ENA|OLKM01000054|OLKM01000054.1 643215","Other"
"50","ENA|OLKM01000055|OLKM01000055.1 333425","Intron"
"51","ENA|OLKM01000055|OLKM01000055.1 334006","Intron"
"52","ENA|OLKM01000055|OLKM01000055.1 334676","Intron"
"53","ENA|OLKM01000055|OLKM01000055.1 335933","Intron"
"54","ENA|OLKM01000059|OLKM01000059.1 564944","Intron"
"55","ENA|OLKM01000061|OLKM01000061.1 88233","Intron"
"56","ENA|OLKM01000063|OLKM01000063.1 157158","Other"
"57","ENA|OLKM01000063|OLKM01000063.1 159909","Other"
"58","ENA|OLKM01000063|OLKM01000063.1 160222","Other"
"59","ENA|OLKM01000065|OLKM01000065.1 337995","Other"
"60","ENA|OLKM01000067|OLKM01000067.1 417577","UTR3"
"61","ENA|OLKM01000068|OLKM01000068.1 329302","Intron"
"62","ENA|OLKM01000072|OLKM01000072.1 600280","Intron"
"63","ENA|OLKM01000073|OLKM01000073.1 252352","Other"
"64","ENA|OLKM01000075|OLKM01000075.1 19191","CDS"
"65","ENA|OLKM01000075|OLKM01000075.1 19782","Intron"
"66","ENA|OLKM01000075|OLKM01000075.1 215673","Other"
"67","ENA|OLKM01000076|OLKM01000076.1 7272","Intron"
"68","ENA|OLKM01000076|OLKM01000076.1 7297","Intron"
"69","ENA|OLKM01000076|OLKM01000076.1 7565","Intron"
"70","ENA|OLKM01000076|OLKM01000076.1 7712","Intron"
"71","ENA|OLKM01000076|OLKM01000076.1 7753","Intron"
"72","ENA|OLKM01000076|OLKM01000076.1 9757","Intron"
"73","ENA|OLKM01000076|OLKM01000076.1 9801","Intron"
"74","ENA|OLKM01000076|OLKM01000076.1 98118","Intron"
"75","ENA|OLKM01000079|OLKM01000079.1 233386","Promoter"
"76","ENA|OLKM01000080|OLKM01000080.1 517616","CDS"
"77","ENA|OLKM01000082|OLKM01000082.1 356253","Intron"
"78","ENA|OLKM01000083|OLKM01000083.1 278787","Other"
"79","ENA|OLKM01000083|OLKM01000083.1 279320","Other"
"80","ENA|OLKM01000085|OLKM01000085.1 112258","Other"
"81","ENA|OLKM01000090|OLKM01000090.1 217632","Intron"
"82","ENA|OLKM01000090|OLKM01000090.1 456948","Other"
"83","ENA|OLKM01000091|OLKM01000091.1 586774","Intron"
"84","ENA|OLKM01000092|OLKM01000092.1 167881","Intron"
"85","ENA|OLKM01000092|OLKM01000092.1 169479","Intron"
"86","ENA|OLKM01000092|OLKM01000092.1 169641","Intron"
"87","ENA|OLKM01000092|OLKM01000092.1 169951","Intron"
"88","ENA|OLKM01000092|OLKM01000092.1 170128","Intron"
"89","ENA|OLKM01000093|OLKM01000093.1 259963","Other"
"90","ENA|OLKM01000093|OLKM01000093.1 259965","Other"
"91","ENA|OLKM01000096|OLKM01000096.1 14571","Other"
"92","ENA|OLKM01000096|OLKM01000096.1 15952","Other"
"93","ENA|OLKM01000096|OLKM01000096.1 415147","Intron"
"94","ENA|OLKM01000096|OLKM01000096.1 575316","Intron"
"95","ENA|OLKM01000100|OLKM01000100.1 334828","Intron"
"96","ENA|OLKM01000100|OLKM01000100.1 336969","Intron"
"97","ENA|OLKM01000103|OLKM01000103.1 142580","Intron"
"98","ENA|OLKM01000108|OLKM01000108.1 93104","UTR5"
"99","ENA|OLKM01000108|OLKM01000108.1 96610","UTR5"
"100","ENA|OLKM01000108|OLKM01000108.1 96630","UTR5"
"101","ENA|OLKM01000108|OLKM01000108.1 96652","UTR5"
"102","ENA|OLKM01000110|OLKM01000110.1 258896","Intron"
"103","ENA|OLKM01000113|OLKM01000113.1 256057","Intron"
"104","ENA|OLKM01000113|OLKM01000113.1 514112","Other"
"105","ENA|OLKM01000114|OLKM01000114.1 81335","Intron"
"106","ENA|OLKM01000114|OLKM01000114.1 83951","CDS"
"107","ENA|OLKM01000114|OLKM01000114.1 83960","CDS"
"108","ENA|OLKM01000119|OLKM01000119.1 157585","Other"
"109","ENA|OLKM01000119|OLKM01000119.1 157669","Other"
"110","ENA|OLKM01000133|OLKM01000133.1 46926","Intron"
"111","ENA|OLKM01000135|OLKM01000135.1 368790","Intron"
"112","ENA|OLKM01000139|OLKM01000139.1 347179","Intron"
"113","ENA|OLKM01000141|OLKM01000141.1 488425","UTR3"
"114","ENA|OLKM01000141|OLKM01000141.1 502278","Other"
"115","ENA|OLKM01000142|OLKM01000142.1 22843","CDS"
"116","ENA|OLKM01000143|OLKM01000143.1 250462","Other"
"117","ENA|OLKM01000144|OLKM01000144.1 157244","Intron"
"118","ENA|OLKM01000145|OLKM01000145.1 134436","Other"
"119","ENA|OLKM01000145|OLKM01000145.1 134472","Other"
"120","ENA|OLKM01000145|OLKM01000145.1 137267","Other"
