"","Loc","feature_type"
"1","OLKM01000005.1 23516","Intron"
"2","OLKM01000011.1 711438","Intron"
"3","OLKM01000012.1 769865","Intron"
"4","OLKM01000027.1 477807","Intron"
"5","OLKM01000031.1 48844","Intron"
"6","OLKM01000038.1 181666","Intron"
"7","OLKM01000051.1 245802","Intron"
"8","OLKM01000062.1 41157","CDS"
"9","OLKM01000065.1 529292","UTR3"
"10","OLKM01000071.1 39412","CDS"
"11","OLKM01000071.1 39728","CDS"
"12","OLKM01000071.1 39740","CDS"
"13","OLKM01000076.1 7284","Intron"
"14","OLKM01000118.1 454004","Other"
"15","OLKM01000123.1 446255","Other"
"16","OLKM01000139.1 79316","Intron"
"17","OLKM01000142.1 437260","Intron"
"18","OLKM01000150.1 277283","Intron"
"19","OLKM01000154.1 143166","Intron"
"20","OLKM01000157.1 95384","CDS"
"21","OLKM01000172.1 114485","Intron"
"22","OLKM01000174.1 172833","CDS"
"23","OLKM01000184.1 359781","Other"
"24","OLKM01000184.1 372532","Intron"
"25","OLKM01000222.1 253379","Intron"
"26","OLKM01000240.1 254681","Intron"
"27","OLKM01000250.1 196763","CDS"
"28","OLKM01000254.1 5604","Intron"
"29","OLKM01000273.1 149074","Intron"
"30","OLKM01000308.1 323480","CDS"
"31","OLKM01000325.1 249463","CDS"
"32","OLKM01000326.1 165822","Other"
"33","OLKM01000326.1 179184","Intron"
"34","OLKM01000346.1 149536","Intron"
"35","OLKM01000408.1 57093","Intron"
"36","OLKM01000429.1 146443","Intron"
"37","OLKM01000468.1 268959","UTR5"
"38","OLKM01000517.1 207181","Intron"
"39","OLKM01000536.1 70361","Other"
"40","OLKM01000648.1 136736","CDS"
"41","OLKM01000648.1 136874","CDS"
"42","OLKM01000671.1 167026","CDS"
"43","OLKM01000677.1 217888","Intron"
"44","OLKM01000679.1 240389","Other"
"45","OLKM01000687.1 240301","Other"
"46","OLKM01000741.1 219536","Intron"
"47","OLKM01000765.1 85510","Intron"
"48","OLKM01000766.1 37993","Other"
"49","OLKM01000782.1 216325","Intron"
"50","OLKM01000897.1 48793","Intron"
"51","OLKM01000897.1 51253","Intron"
"52","OLKM01000900.1 147900","Intron"
"53","OLKM01000919.1 110313","Intron"
"54","OLKM01000931.1 127081","Intron"
"55","OLKM01000964.1 154492","UTR5"
"56","OLKM01000984.1 119632","CDS"
"57","OLKM01000984.1 148499","Intron"
"58","OLKM01000989.1 36791","Intron"
"59","OLKM01001085.1 79805","Intron"
"60","OLKM01001108.1 98733","Intron"
"61","OLKM01001117.1 89749","Intron"
"62","OLKM01001152.1 27816","CDS"
"63","OLKM01001156.1 13757","CDS"
"64","OLKM01001160.1 38872","Intron"
"65","OLKM01001162.1 17794","Intron"
"66","OLKM01001162.1 17808","CDS"
"67","OLKM01001193.1 41574","Other"
"68","OLKM01001209.1 28645","CDS"
"69","OLKM01001299.1 10132","CDS"
"70","OLKM01001318.1 60659","CDS"
"71","OLKM01001411.1 52446","UTR3"
"72","OLKM01001424.1 16722","CDS"
"73","OLKM01001513.1 76293","Intron"
"74","OLKM01001580.1 70315","Intron"
"75","OLKM01001599.1 22020","CDS"
"76","OLKM01001652.1 91386","CDS"
"77","OLKM01001691.1 36918","CDS"
"78","OLKM01001749.1 105779","Other"
"79","OLKM01001806.1 26855","CDS"
"80","OLKM01001831.1 56230","Other"
"81","OLKM01001978.1 10601","CDS"
"82","OLKM01002021.1 5280","Other"
"83","OLKM01002149.1 9826","CDS"
"84","OLKM01002160.1 28974","CDS"
"85","OLKM01002180.1 5865","Other"
"86","OLKM01002271.1 8176","Intron"
"87","OLKM01002367.1 28546","CDS"
"88","OLKM01002431.1 5830","Other"
"89","OLKM01002664.1 3017","CDS"
"90","OLKM01002695.1 40971","UTR5"
"91","OLKM01002731.1 22685","Intron"
"92","OLKM01002864.1 42401","CDS"
"93","OLKM01003282.1 10476","Other"
"94","OLKM01003581.1 24851","Other"
"95","OLKM01003783.1 24331","Other"
"96","OLKM01003783.1 24824","Other"
"97","OLKM01003916.1 18642","Intron"
"98","OLKM01004105.1 13352","CDS"
"99","OLKM01004222.1 9826","Intron"
"100","OLKM01004312.1 9170","Intron"
"101","OLKM01004565.1 7630","Other"
"102","OLKM01004810.1 7628","Other"
"103","OLKM01006422.1 535","Intron"
"104","OLKM01006540.1 832","Other"
"105","OLKM01006686.1 2685","CDS"
"106","OLKM01006776.1 7275","Terminator"
"107","OLKM01007004.1 3631","Intron"
"108","OLKM01007279.1 3301","Other"
"109","OLKM01008299.1 3009","CDS"
