"scaffold","number_of_loci","Sequence.Length"
"OLKM01000045.1",2,712554
"OLKM01000129.1",2,526742
"OLKM01001814.1",2,103660
"OLKM01006732.1",2,13530
"OLKM01007402.1",2,11897
"OLKM01008153.1",2,7645
"OLKM01000001.1",1,1626948
"OLKM01000019.1",1,862895
"OLKM01000020.1",1,862834
"OLKM01000023.1",1,847562
"OLKM01000027.1",1,806277
"OLKM01000028.1",1,802855
"OLKM01000040.1",1,743825
"OLKM01000052.1",1,678942
"OLKM01000060.1",1,665563
"OLKM01000071.1",1,635436
"OLKM01000076.1",1,621435
"OLKM01000085.1",1,603124
"OLKM01000089.1",1,594494
"OLKM01000092.1",1,584966
"OLKM01000099.1",1,580312
"OLKM01000100.1",1,577598
"OLKM01000104.1",1,568384
"OLKM01000106.1",1,567183
"OLKM01000131.1",1,521735
"OLKM01000151.1",1,494261
"OLKM01000177.1",1,465526
"OLKM01000204.1",1,445980
"OLKM01000223.1",1,430223
"OLKM01000246.1",1,412479
"OLKM01000259.1",1,402992
"OLKM01000301.1",1,379333
"OLKM01000341.1",1,355879
"OLKM01000345.1",1,351655
"OLKM01000367.1",1,344243
"OLKM01000368.1",1,343906
"OLKM01000454.1",1,308508
"OLKM01000602.1",1,263636
"OLKM01000692.1",1,242243
"OLKM01000713.1",1,236477
"OLKM01000749.1",1,229986
"OLKM01000788.1",1,222204
"OLKM01000811.1",1,218860
"OLKM01000827.1",1,216962
"OLKM01000848.1",1,213395
"OLKM01000901.1",1,206238
"OLKM01000906.1",1,205122
"OLKM01000914.1",1,203356
"OLKM01000975.1",1,192119
"OLKM01001012.1",1,185741
"OLKM01001021.1",1,184465
"OLKM01001024.1",1,184055
"OLKM01001156.1",1,166623
"OLKM01001221.1",1,159183
"OLKM01001265.1",1,152389
"OLKM01001300.1",1,149592
"OLKM01001376.1",1,141299
"OLKM01001455.1",1,133990
"OLKM01001466.1",1,132728
"OLKM01001589.1",1,120394
"OLKM01001933.1",1,94946
"OLKM01002173.1",1,81508
"OLKM01002346.1",1,73108
"OLKM01002706.1",1,57379
"OLKM01002728.1",1,56643
"OLKM01002775.1",1,55113
"OLKM01003271.1",1,39763
"OLKM01003562.1",1,33979
"OLKM01003581.1",1,33704
"OLKM01003633.1",1,32895
"OLKM01003646.1",1,32726
"OLKM01003783.1",1,30024
"OLKM01003945.1",1,27519
"OLKM01004008.1",1,26606
"OLKM01004189.1",1,24398
"OLKM01004331.1",1,23208
"OLKM01004396.1",1,22720
"OLKM01004668.1",1,20756
"OLKM01004684.1",1,20636
"OLKM01004961.1",1,19129
"OLKM01004976.1",1,19064
"OLKM01005034.1",1,18785
"OLKM01005265.1",1,17783
"OLKM01005364.1",1,17414
"OLKM01005398.1",1,17311
"OLKM01005433.1",1,17179
"OLKM01005435.1",1,17174
"OLKM01005523.1",1,16879
"OLKM01005562.1",1,16764
"OLKM01005662.1",1,16387
"OLKM01005946.1",1,15492
"OLKM01006189.1",1,14905
"OLKM01006335.1",1,14532
"OLKM01006440.1",1,14280
"OLKM01006484.1",1,14153
"OLKM01006683.1",1,13642
"OLKM01006707.1",1,13585
"OLKM01006759.1",1,13475
"OLKM01006776.1",1,13421
"OLKM01006865.1",1,13213
"OLKM01007176.1",1,12430
"OLKM01007530.1",1,11564
"OLKM01007566.1",1,11434
"OLKM01007975.1",1,10186
"OLKM01008079.1",1,9322
