"","Loc","scaffold","position","Function"
"1","ENA|OLKM01000002|OLKM01000002.1 1260215","OLKM01000002.1",1260216,"Name=MEAE_00000395;Alias=maker-MeA_20160214_scaffold_1-snap-gene-3.594;Note=Protein of unknown function;"
"1.2","ENA|OLKM01000002|OLKM01000002.1 1260215","OLKM01000002.1",1260216,"Name=MEAE_00000396;Alias=snap_masked-MeA_20160214_scaffold_1-processed-gene-3.443;Note=Protein of unknown function;"
"2","ENA|OLKM01000003|OLKM01000003.1 929370","OLKM01000003.1",929371,"Name=MEAE_00000539;Alias=maker-MeA_20160214_scaffold_2-snap-gene-3.281;Note=Protein of unknown function;Dbxref=PANTHER:PTHR23304;"
"3","ENA|OLKM01000003|OLKM01000003.1 1305712","OLKM01000003.1",1305713,"Name=MEAE_00000607;Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.250;Note=Protein of unknown function;Dbxref=PANTHER:PTHR22955,PANTHER:PTHR22955:SF3;"
"4","ENA|OLKM01000003|OLKM01000003.1 1305733","OLKM01000003.1",1305734,"Name=MEAE_00000607;Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.250;Note=Protein of unknown function;Dbxref=PANTHER:PTHR22955,PANTHER:PTHR22955:SF3;"
"5","ENA|OLKM01000003|OLKM01000003.1 1309466","OLKM01000003.1",1309467,"Name=MEAE_00000608;Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.251;Note=Protein of unknown function;Dbxref=Coils:Coil;"
"6","ENA|OLKM01000003|OLKM01000003.1 1318584","OLKM01000003.1",1318585,"Name=MEAE_00000608;Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.251;Note=Protein of unknown function;Dbxref=Coils:Coil;"
"10","ENA|OLKM01000005|OLKM01000005.1 226318","OLKM01000005.1",226319,"Name=MEAE_00000784;Alias=maker-MeA_20160214_scaffold_4-augustus-gene-0.128;Note=Similar to ZBED5: Zinc finger BED domain-containing protein 5 (Bos taurus);Dbxref=PANTHER:PTHR11697,PANTHER:PTHR11697:SF90;"
"10.4","ENA|OLKM01000005|OLKM01000005.1 226318","OLKM01000005.1",226319,"Name=MEAE_00000785;Alias=snap_masked-MeA_20160214_scaffold_4-processed-gene-0.114;Note=Protein of unknown function;"
"12","ENA|OLKM01000006|OLKM01000006.1 1053909","OLKM01000006.1",1053910,"Name=MEAE_00001117;Alias=maker-MeA_20160214_scaffold_5-snap-gene-2.547;Note=Similar to SH2D7: SH2 domain-containing protein 7 (Homo sapiens);Dbxref=Gene3D:G3DSA:3.30.505.10,InterPro:IPR000980,PANTHER:PTHR14388,PANTHER:PTHR14388:SF6,PRINTS:PR00401,Pfam:PF00017,ProSiteProfiles:PS50001,SMART:SM00252,SUPERFAMILY:SSF55550;Ontology_term=GO:0005515;"
"12.2","ENA|OLKM01000006|OLKM01000006.1 1053909","OLKM01000006.1",1053910,"Name=MEAE_00001118;Alias=snap_masked-MeA_20160214_scaffold_5-processed-gene-2.419;Note=Protein of unknown function;"
"13","ENA|OLKM01000012|OLKM01000012.1 798347","OLKM01000012.1",798348,"Name=MEAE_00001898;Alias=maker-MeA_20160214_scaffold_11-snap-gene-2.221;Note=Similar to ATP13A3: Probable cation-transporting ATPase 13A3 (Homo sapiens);Dbxref=Coils:Coil,Gene3D:G3DSA:2.70.150.10,Gene3D:G3DSA:3.40.1110.10,Gene3D:G3DSA:3.40.50.1000,Gene3D:G3DSA:3.40.50.300,InterPro:IPR001401,InterPro:IPR001757,InterPro:IPR004014,InterPro:IPR006544,InterPro:IPR008250,InterPro:IPR022812,InterPro:IPR023214,InterPro:IPR023299,InterPro:IPR027417,PANTHER:PTHR24093,PANTHER:PTHR24093:SF249,PRINTS:PR00195,Pfam:PF00122,Pfam:PF00350,Pfam:PF00690,Pfam:PF12409,Pfam:PF12710,SMART:SM00053,SMART:SM00831,SUPERFAMILY:SSF101447,SUPERFAMILY:SSF52540,SUPERFAMILY:SSF56784,SUPERFAMILY:SSF81653,SUPERFAMILY:SSF81660,SUPERFAMILY:SSF81665,TIGRFAM:TIGR01494,TIGRFAM:TIGR01657;Ontology_term=GO:0000166,GO:0003924,GO:0005525,GO:0006812,GO:0016021,GO:0016887,GO:0019829,GO:0046872;"
"14","ENA|OLKM01000013|OLKM01000013.1 391070","OLKM01000013.1",391071,"Name=MEAE_00001983;Alias=maker-MeA_20160214_scaffold_12-snap-gene-1.258;Note=Similar to Plxnb3: Plexin-B3 (Mus musculus);Dbxref=Gene3D:G3DSA:2.130.10.10,Gene3D:G3DSA:2.60.40.10,Gene3D:G3DSA:3.10.20.90,Gene3D:G3DSA:3.30.1680.10,InterPro:IPR001627,InterPro:IPR002165,InterPro:IPR002909,InterPro:IPR008936,InterPro:IPR013548,InterPro:IPR013783,InterPro:IPR014756,InterPro:IPR015943,InterPro:IPR016201,PANTHER:PTHR22625,PANTHER:PTHR22625:SF36,Pfam:PF01403,Pfam:PF01437,Pfam:PF01833,Pfam:PF08337,ProSiteProfiles:PS51004,SMART:SM00423,SMART:SM00429,SMART:SM00630,SUPERFAMILY:SSF101912,SUPERFAMILY:SSF103575,SUPERFAMILY:SSF48350,SUPERFAMILY:SSF81296;Ontology_term=GO:0004872,GO:0005515,GO:0005622,GO:0007165,GO:0007275,GO:0016020;"
"14.2","ENA|OLKM01000013|OLKM01000013.1 391070","OLKM01000013.1",391071,"Name=MEAE_00001985;Alias=snap_masked-MeA_20160214_scaffold_12-processed-gene-1.138;Note=Protein of unknown function;"
"15","ENA|OLKM01000013|OLKM01000013.1 391898","OLKM01000013.1",391899,"Name=MEAE_00001983;Alias=maker-MeA_20160214_scaffold_12-snap-gene-1.258;Note=Similar to Plxnb3: Plexin-B3 (Mus musculus);Dbxref=Gene3D:G3DSA:2.130.10.10,Gene3D:G3DSA:2.60.40.10,Gene3D:G3DSA:3.10.20.90,Gene3D:G3DSA:3.30.1680.10,InterPro:IPR001627,InterPro:IPR002165,InterPro:IPR002909,InterPro:IPR008936,InterPro:IPR013548,InterPro:IPR013783,InterPro:IPR014756,InterPro:IPR015943,InterPro:IPR016201,PANTHER:PTHR22625,PANTHER:PTHR22625:SF36,Pfam:PF01403,Pfam:PF01437,Pfam:PF01833,Pfam:PF08337,ProSiteProfiles:PS51004,SMART:SM00423,SMART:SM00429,SMART:SM00630,SUPERFAMILY:SSF101912,SUPERFAMILY:SSF103575,SUPERFAMILY:SSF48350,SUPERFAMILY:SSF81296;Ontology_term=GO:0004872,GO:0005515,GO:0005622,GO:0007165,GO:0007275,GO:0016020;"
"15.2","ENA|OLKM01000013|OLKM01000013.1 391898","OLKM01000013.1",391899,"Name=MEAE_00001985;Alias=snap_masked-MeA_20160214_scaffold_12-processed-gene-1.138;Note=Protein of unknown function;"
"16","ENA|OLKM01000013|OLKM01000013.1 780036","OLKM01000013.1",780037,"Name=MEAE_00002033;Alias=snap_masked-MeA_20160214_scaffold_12-processed-gene-2.171;Note=Protein of unknown function;"
"17","ENA|OLKM01000013|OLKM01000013.1 780045","OLKM01000013.1",780046,"Name=MEAE_00002033;Alias=snap_masked-MeA_20160214_scaffold_12-processed-gene-2.171;Note=Protein of unknown function;"
"18","ENA|OLKM01000018|OLKM01000018.1 662610","OLKM01000018.1",662611,"Name=MEAE_00002630;Alias=maker-MeA_20160214_scaffold_17-snap-gene-1.358;Note=Similar to LEF1: Lymphoid enhancer-binding factor 1 (Homo sapiens);Dbxref=Gene3D:G3DSA:1.10.30.10,Gene3D:G3DSA:4.10.900.10,InterPro:IPR009071,InterPro:IPR013558,InterPro:IPR024940,InterPro:IPR027397,InterPro:IPR028769,PANTHER:PTHR10373,PANTHER:PTHR10373:SF11,Pfam:PF00505,Pfam:PF08347,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;Ontology_term=GO:0006357,GO:0008013,GO:0016055;"
"20","ENA|OLKM01000022|OLKM01000022.1 825159","OLKM01000022.1",825160,"Name=MEAE_00003144;Alias=maker-MeA_20160214_scaffold_21-snap-gene-1.612;Note=Similar to Adamtsl2: ADAMTS-like protein 2 (Mus musculus);Dbxref=Gene3D:G3DSA:2.20.100.10,InterPro:IPR000884,InterPro:IPR010294,InterPro:IPR010909,PANTHER:PTHR13723,PANTHER:PTHR13723:SF159,Pfam:PF00090,Pfam:PF05986,Pfam:PF08686,ProSiteProfiles:PS50092,ProSiteProfiles:PS50900,SMART:SM00209,SUPERFAMILY:SSF82895;Ontology_term=GO:0004222,GO:0008233,GO:0031012;"
"20.2","ENA|OLKM01000022|OLKM01000022.1 825159","OLKM01000022.1",825160,"Name=MEAE_00003145;Alias=snap_masked-MeA_20160214_scaffold_21-processed-gene-1.407;Note=Protein of unknown function;"
"21","ENA|OLKM01000022|OLKM01000022.1 850674","OLKM01000022.1",850675,"Name=MEAE_00003151;Alias=maker-MeA_20160214_scaffold_21-augustus-gene-1.505;Note=Protein of unknown function;"
"23","ENA|OLKM01000029|OLKM01000029.1 536273","OLKM01000029.1",536274,"Name=MEAE_00003942;Alias=snap_masked-MeA_20160214_scaffold_28-processed-gene-1.195;Note=Similar to SYK: Tyrosine-protein kinase SYK (Homo sapiens);Dbxref=Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:1.10.930.10,Gene3D:G3DSA:3.30.200.20,Gene3D:G3DSA:3.30.505.10,InterPro:IPR000719,InterPro:IPR000980,InterPro:IPR001245,InterPro:IPR011009,InterPro:IPR017441,InterPro:IPR020635,InterPro:IPR023420,PANTHER:PTHR24418,PANTHER:PTHR24418:SF79,PRINTS:PR00401,Pfam:PF00017,Pfam:PF07714,ProSitePatterns:PS00107,ProSiteProfiles:PS50001,ProSiteProfiles:PS50011,SMART:SM00219,SMART:SM00252,SUPERFAMILY:SSF55550,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0004713,GO:0004715,GO:0005515,GO:0005524,GO:0006468,GO:0016772;"
"24","ENA|OLKM01000029|OLKM01000029.1 536278","OLKM01000029.1",536279,"Name=MEAE_00003942;Alias=snap_masked-MeA_20160214_scaffold_28-processed-gene-1.195;Note=Similar to SYK: Tyrosine-protein kinase SYK (Homo sapiens);Dbxref=Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:1.10.930.10,Gene3D:G3DSA:3.30.200.20,Gene3D:G3DSA:3.30.505.10,InterPro:IPR000719,InterPro:IPR000980,InterPro:IPR001245,InterPro:IPR011009,InterPro:IPR017441,InterPro:IPR020635,InterPro:IPR023420,PANTHER:PTHR24418,PANTHER:PTHR24418:SF79,PRINTS:PR00401,Pfam:PF00017,Pfam:PF07714,ProSitePatterns:PS00107,ProSiteProfiles:PS50001,ProSiteProfiles:PS50011,SMART:SM00219,SMART:SM00252,SUPERFAMILY:SSF55550,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0004713,GO:0004715,GO:0005515,GO:0005524,GO:0006468,GO:0016772;"
"25","ENA|OLKM01000029|OLKM01000029.1 536298","OLKM01000029.1",536299,"Name=MEAE_00003942;Alias=snap_masked-MeA_20160214_scaffold_28-processed-gene-1.195;Note=Similar to SYK: Tyrosine-protein kinase SYK (Homo sapiens);Dbxref=Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:1.10.930.10,Gene3D:G3DSA:3.30.200.20,Gene3D:G3DSA:3.30.505.10,InterPro:IPR000719,InterPro:IPR000980,InterPro:IPR001245,InterPro:IPR011009,InterPro:IPR017441,InterPro:IPR020635,InterPro:IPR023420,PANTHER:PTHR24418,PANTHER:PTHR24418:SF79,PRINTS:PR00401,Pfam:PF00017,Pfam:PF07714,ProSitePatterns:PS00107,ProSiteProfiles:PS50001,ProSiteProfiles:PS50011,SMART:SM00219,SMART:SM00252,SUPERFAMILY:SSF55550,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0004713,GO:0004715,GO:0005515,GO:0005524,GO:0006468,GO:0016772;"
"26","ENA|OLKM01000030|OLKM01000030.1 75902","OLKM01000030.1",75903,"Name=MEAE_00003979;Alias=maker-MeA_20160214_scaffold_29-snap-gene-0.149;Note=Similar to Mcm3ap: Germinal-center associated nuclear protein (Mus musculus);Dbxref=Coils:Coil,Gene3D:G3DSA:3.30.70.330,InterPro:IPR005062,InterPro:IPR012677,PANTHER:PTHR12436,PANTHER:PTHR12436:SF18,Pfam:PF03399,SUPERFAMILY:SSF54928;Ontology_term=GO:0000166;"
"27","ENA|OLKM01000030|OLKM01000030.1 511053","OLKM01000030.1",511054,"Name=MEAE_00004053;Alias=maker-MeA_20160214_scaffold_29-augustus-gene-1.286;Note=Protein of unknown function;Dbxref=SUPERFAMILY:SSF53187;"
"29","ENA|OLKM01000033|OLKM01000033.1 63272","OLKM01000033.1",63273,"Name=MEAE_00004278;Alias=maker-MeA_20160214_scaffold_32-snap-gene-0.125;Note=Similar to ilf2: Interleukin enhancer-binding factor 2 homolog (Danio rerio);Dbxref=Gene3D:G3DSA:3.30.460.10,InterPro:IPR006116,InterPro:IPR006561,PANTHER:PTHR10910,Pfam:PF07528,ProSiteProfiles:PS50152,SMART:SM00572,SUPERFAMILY:SSF81301;Ontology_term=GO:0003723,GO:0005524,GO:0006955,GO:0016740;"
"31","ENA|OLKM01000034|OLKM01000034.1 741554","OLKM01000034.1",741555,"Name=MEAE_00004476;Alias=maker-MeA_20160214_scaffold_33-augustus-gene-1.314;Note=Similar to Trypsin (Pleuronectes platessa);Dbxref=Gene3D:G3DSA:2.40.10.10,InterPro:IPR001254,InterPro:IPR001314,InterPro:IPR009003,InterPro:IPR018114,PANTHER:PTHR24264,PANTHER:PTHR24264:SF6,PRINTS:PR00722,Pfam:PF00089,ProSitePatterns:PS00135,ProSiteProfiles:PS50240,SMART:SM00020,SUPERFAMILY:SSF50494;Ontology_term=GO:0003824,GO:0004252,GO:0006508;"
