"scaffold","number_of_loci","Sequence.Length"
"OLKM01000001.1",223,1626948
"OLKM01000006.1",204,1187672
"OLKM01000041.1",180,742072
"OLKM01000002.1",160,1369316
"OLKM01000003.1",144,1336224
"OLKM01000004.1",144,1294201
"OLKM01000028.1",141,802855
"OLKM01000059.1",137,669020
"OLKM01000008.1",128,1100095
"OLKM01000023.1",125,847562
"OLKM01000042.1",120,736084
"OLKM01000011.1",117,970638
"OLKM01000016.1",117,876846
"OLKM01000244.1",116,413688
"OLKM01000019.1",115,862895
"OLKM01000057.1",114,671702
"OLKM01000035.1",112,773429
"OLKM01000142.1",111,508615
"OLKM01000099.1",110,580312
"OLKM01000113.1",108,556972
"OLKM01000335.1",108,358028
"OLKM01000009.1",105,1063587
"OLKM01000039.1",105,744332
"OLKM01000110.1",103,558848
"OLKM01000007.1",102,1155478
"OLKM01000075.1",100,628544
"OLKM01000367.1",100,344243
"OLKM01000536.1",100,283446
"OLKM01000088.1",98,594889
"OLKM01000204.1",98,445980
"OLKM01000105.1",97,568333
"OLKM01000005.1",95,1196965
"OLKM01000038.1",94,746026
"OLKM01000124.1",94,533867
"OLKM01000202.1",94,447263
"OLKM01000047.1",93,693215
"OLKM01000058.1",93,670150
"OLKM01000074.1",93,628967
"OLKM01000539.1",93,282541
"OLKM01003916.1",93,27868
"OLKM01000040.1",92,743825
"OLKM01000070.1",92,640083
"OLKM01000265.1",92,399938
"OLKM01000015.1",91,880624
"OLKM01000062.1",91,663484
"OLKM01000063.1",90,660482
"OLKM01000634.1",90,256030
"OLKM01000108.1",89,562012
"OLKM01000177.1",89,465526
"OLKM01000178.1",89,465050
"OLKM01000089.1",88,594494
"OLKM01000022.1",87,854711
"OLKM01000037.1",86,761227
"OLKM01000175.1",86,470299
"OLKM01000456.1",86,308038
"OLKM01000044.1",85,715878
"OLKM01000386.1",85,337074
"OLKM01000045.1",84,712554
"OLKM01000198.1",84,452331
"OLKM01000475.1",84,300115
"OLKM01000288.1",83,385592
"OLKM01000024.1",82,830399
"OLKM01000064.1",82,657237
"OLKM01000167.1",82,478484
"OLKM01000029.1",81,800855
"OLKM01000018.1",80,866444
"OLKM01000132.1",80,521259
"OLKM01000238.1",80,420774
"OLKM01000325.1",80,364125
"OLKM01000166.1",79,478650
"OLKM01000017.1",78,870134
"OLKM01000036.1",77,768982
"OLKM01000284.1",77,390090
"OLKM01000051.1",76,681306
"OLKM01000065.1",76,652591
"OLKM01000013.1",75,926208
"OLKM01000025.1",75,816862
"OLKM01000125.1",75,533052
"OLKM01000156.1",75,488399
"OLKM01000246.1",75,412479
"OLKM01000256.1",75,403399
"OLKM01000012.1",74,959773
"OLKM01000150.1",74,494446
"OLKM01000258.1",74,403121
"OLKM01000259.1",74,402992
"OLKM01000081.1",73,612535
"OLKM01000505.1",73,290956
"OLKM01000792.1",73,221960
"OLKM01000033.1",72,783699
"OLKM01000096.1",72,582393
"OLKM01000190.1",72,458783
"OLKM01000271.1",72,394689
"OLKM01000172.1",71,473547
"OLKM01000345.1",71,351655
"OLKM01003606.1",71,33306
"OLKM01000174.1",70,470757
"OLKM01000211.1",70,440777
"OLKM01000242.1",70,416139
"OLKM01000455.1",70,308345
"OLKM01000527.1",70,286480
"OLKM01000030.1",69,796949
"OLKM01000055.1",69,675028
"OLKM01000093.1",69,584417
"OLKM01000043.1",68,733482
"OLKM01000092.1",68,584966
"OLKM01000111.1",68,558817
"OLKM01000169.1",68,476843
"OLKM01000182.1",68,462331
"OLKM01000364.1",68,346391
"OLKM01000914.1",68,203356
"OLKM01000326.1",67,363551
"OLKM01000379.1",67,338299
"OLKM01000086.1",66,596185
"OLKM01000222.1",66,430884
"OLKM01000427.1",66,319879
"OLKM01000068.1",65,647987
"OLKM01000127.1",65,531338
"OLKM01000433.1",65,318071
"OLKM01000050.1",64,682417
"OLKM01000114.1",64,546931
"OLKM01000122.1",64,534798
"OLKM01000157.1",64,488081
"OLKM01000287.1",64,386167
"OLKM01000512.1",64,289247
"OLKM01001565.1",64,122155
"OLKM01000031.1",63,796851
"OLKM01000098.1",62,580852
"OLKM01000107.1",62,562215
"OLKM01000196.1",62,454757
"OLKM01000230.1",62,425647
"OLKM01000614.1",62,258499
"OLKM01000052.1",61,678942
"OLKM01000104.1",61,568384
"OLKM01000183.1",61,461331
"OLKM01000240.1",61,420305
"OLKM01000954.1",61,194796
"OLKM01004954.1",61,19167
"OLKM01000200.1",60,448579
"OLKM01000201.1",60,448183
"OLKM01000205.1",60,444964
"OLKM01000252.1",60,406427
"OLKM01000076.1",59,621435
"OLKM01000143.1",59,508194
"OLKM01000613.1",59,259733
"OLKM01000027.1",58,806277
"OLKM01000072.1",58,633204
"OLKM01000660.1",58,248450
"OLKM01003581.1",58,33704
"OLKM01000101.1",57,577444
"OLKM01000290.1",57,384876
"OLKM01000295.1",57,382584
"OLKM01000391.1",57,334642
"OLKM01000395.1",57,332796
"OLKM01004331.1",57,23208
"OLKM01000060.1",56,665563
"OLKM01000136.1",56,517766
"OLKM01000229.1",56,425757
"OLKM01000267.1",56,398672
"OLKM01000301.1",56,379333
"OLKM01000161.1",55,482308
"OLKM01000186.1",55,460362
"OLKM01000191.1",55,458651
"OLKM01000309.1",55,374148
"OLKM01000014.1",54,906000
"OLKM01000034.1",54,783160
"OLKM01000118.1",54,540805
"OLKM01000129.1",54,526742
"OLKM01000134.1",54,519545
"OLKM01000173.1",54,470997
"OLKM01000199.1",54,451040
"OLKM01000266.1",54,399879
"OLKM01000317.1",54,369447
"OLKM01000347.1",54,350463
"OLKM01000368.1",54,343906
"OLKM01000412.1",54,325804
"OLKM01000160.1",53,483413
"OLKM01000179.1",53,464606
"OLKM01000221.1",53,431979
"OLKM01000233.1",53,424119
"OLKM01000282.1",53,390390
"OLKM01000537.1",53,283378
"OLKM01000692.1",53,242243
"OLKM01003646.1",53,32726
"OLKM01004294.1",53,23593
"OLKM01000079.1",52,615662
"OLKM01000170.1",52,476362
"OLKM01000355.1",52,348831
"OLKM01000402.1",52,329706
"OLKM01000485.1",52,296423
"OLKM01000026.1",51,808902
"OLKM01000227.1",51,426961
"OLKM01000341.1",51,355879
"OLKM01000450.1",51,309046
"OLKM01000845.1",51,214080
"OLKM01001024.1",51,184055
"OLKM01007038.1",51,12790
"OLKM01000102.1",50,570395
"OLKM01000224.1",50,428235
"OLKM01000383.1",50,337588
"OLKM01000439.1",50,312444
"OLKM01000497.1",50,293280
"OLKM01000850.1",50,213129
"OLKM01001020.1",50,184644
"OLKM01000032.1",49,791586
"OLKM01000061.1",49,664273
"OLKM01000424.1",49,320630
"OLKM01000473.1",49,300269
"OLKM01000624.1",49,256871
"OLKM01000626.1",49,256696
"OLKM01000728.1",49,233790
"OLKM01000892.1",49,207724
"OLKM01007458.1",49,11771
"OLKM01000048.1",48,686611
"OLKM01000168.1",48,477985
"OLKM01000216.1",48,436680
"OLKM01000461.1",48,304925
"OLKM01000524.1",48,287328
"OLKM01000604.1",48,262622
"OLKM01000677.1",48,245377
"OLKM01000711.1",48,237054
"OLKM01000020.1",47,862834
"OLKM01000073.1",47,633016
"OLKM01000082.1",47,609128
"OLKM01000087.1",47,595517
"OLKM01000090.1",47,592469
"OLKM01000116.1",47,541319
"OLKM01000123.1",47,534298
"OLKM01000180.1",47,462996
"OLKM01000291.1",47,383068
"OLKM01000308.1",47,375427
"OLKM01000394.1",47,332981
"OLKM01004189.1",47,24398
"OLKM01006440.1",47,14280
"OLKM01000078.1",46,619451
"OLKM01000120.1",46,539102
"OLKM01000207.1",46,442670
"OLKM01000215.1",46,437354
"OLKM01000241.1",46,418873
"OLKM01000330.1",46,360932
"OLKM01000390.1",46,336363
"OLKM01000454.1",46,308508
"OLKM01000665.1",46,247839
"OLKM01000713.1",46,236477
"OLKM01000715.1",46,236026
"OLKM01000758.1",46,228210
"OLKM01005235.1",46,17894
"OLKM01005460.1",46,17065
"OLKM01000083.1",45,606126
"OLKM01000095.1",45,583002
"OLKM01000103.1",45,569137
"OLKM01000126.1",45,532651
"OLKM01000154.1",45,493045
"OLKM01000171.1",45,475535
"OLKM01000346.1",45,351135
"OLKM01000360.1",45,347392
"OLKM01000363.1",45,346438
"OLKM01000374.1",45,340667
"OLKM01000376.1",45,339036
"OLKM01000384.1",45,337542
"OLKM01000486.1",45,296351
"OLKM01000647.1",45,252108
"OLKM01000705.1",45,237999
"OLKM01001036.1",45,181226
"OLKM01002125.1",45,84041
"OLKM01000010.1",44,970790
"OLKM01000080.1",44,614323
"OLKM01000100.1",44,577598
"OLKM01000119.1",44,539655
"OLKM01000306.1",44,376922
"OLKM01001039.1",44,180682
"OLKM01002372.1",44,71907
"OLKM01000053.1",43,678086
"OLKM01000056.1",43,672232
"OLKM01000085.1",43,603124
"OLKM01000151.1",43,494261
"OLKM01000181.1",43,462425
"OLKM01000184.1",43,461228
"OLKM01000187.1",43,459867
"OLKM01000209.1",43,442079
"OLKM01000299.1",43,380353
"OLKM01000314.1",43,371966
"OLKM01000321.1",43,367295
"OLKM01000380.1",43,338273
"OLKM01000416.1",43,324825
"OLKM01000479.1",43,298192
"OLKM01000489.1",43,295674
"OLKM01000622.1",43,257315
"OLKM01000818.1",43,217603
"OLKM01001286.1",43,150453
"OLKM01000046.1",42,702404
"OLKM01000130.1",42,526065
"OLKM01000165.1",42,479496
"OLKM01000185.1",42,460871
"OLKM01000337.1",42,357476
"OLKM01000342.1",42,355875
"OLKM01000351.1",42,349509
"OLKM01000366.1",42,344499
"OLKM01000398.1",42,331171
"OLKM01000415.1",42,324841
"OLKM01000515.1",42,288768
"OLKM01000531.1",42,285888
"OLKM01000532.1",42,285183
"OLKM01000619.1",42,257628
"OLKM01000716.1",42,235976
"OLKM01000719.1",42,235560
"OLKM01000991.1",42,188839
"OLKM01000112.1",41,557181
"OLKM01000133.1",41,519749
"OLKM01000158.1",41,487263
"OLKM01000159.1",41,485454
"OLKM01000176.1",41,470259
"OLKM01000223.1",41,430223
"OLKM01000249.1",41,409382
"OLKM01000302.1",41,379311
"OLKM01000357.1",41,348480
"OLKM01000377.1",41,338972
