"scaffold","number_of_loci","Sequence.Length"
"OLKM01000001.1",186,1626948
"OLKM01000006.1",153,1187672
"OLKM01000041.1",130,742072
"OLKM01000059.1",102,669020
"OLKM01000003.1",96,1336224
"OLKM01000004.1",94,1294201
"OLKM01000028.1",94,802855
"OLKM01000035.1",93,773429
"OLKM01000009.1",87,1063587
"OLKM01000005.1",85,1196965
"OLKM01000099.1",85,580312
"OLKM01000008.1",81,1100095
"OLKM01000002.1",79,1369316
"OLKM01000011.1",79,970638
"OLKM01000016.1",79,876846
"OLKM01003916.1",78,27868
"OLKM01000023.1",77,847562
"OLKM01000105.1",77,568333
"OLKM01000113.1",77,556972
"OLKM01000042.1",75,736084
"OLKM01000039.1",73,744332
"OLKM01000204.1",72,445980
"OLKM01000018.1",70,866444
"OLKM01000057.1",70,671702
"OLKM01000038.1",69,746026
"OLKM01000198.1",69,452331
"OLKM01000367.1",68,344243
"OLKM01000007.1",66,1155478
"OLKM01000029.1",66,800855
"OLKM01000110.1",65,558848
"OLKM01000536.1",65,283446
"OLKM01000070.1",64,640083
"OLKM01000238.1",63,420774
"OLKM01000265.1",63,399938
"OLKM01004954.1",63,19167
"OLKM01000022.1",61,854711
"OLKM01000037.1",61,761227
"OLKM01000142.1",59,508615
"OLKM01000178.1",59,465050
"OLKM01003606.1",59,33306
"OLKM01000047.1",58,693215
"OLKM01000062.1",58,663484
"OLKM01000075.1",58,628544
"OLKM01000098.1",57,580852
"OLKM01000125.1",57,533052
"OLKM01000177.1",57,465526
"OLKM01000244.1",57,413688
"OLKM01000456.1",57,308038
"OLKM01000058.1",56,670150
"OLKM01000063.1",56,660482
"OLKM01000111.1",56,558817
"OLKM01000222.1",56,430884
"OLKM01000539.1",56,282541
"OLKM01000019.1",55,862895
"OLKM01000040.1",55,743825
"OLKM01000089.1",55,594494
"OLKM01000202.1",55,447263
"OLKM01000792.1",55,221960
"OLKM01000096.1",54,582393
"OLKM01000033.1",53,783699
"OLKM01000150.1",53,494446
"OLKM01000190.1",53,458783
"OLKM01000030.1",52,796949
"OLKM01000044.1",52,715878
"OLKM01000045.1",52,712554
"OLKM01000122.1",52,534798
"OLKM01000386.1",52,337074
"OLKM01000167.1",51,478484
"OLKM01000246.1",51,412479
"OLKM01000288.1",51,385592
"OLKM01000068.1",50,647987
"OLKM01000114.1",50,546931
"OLKM01000914.1",50,203356
"OLKM01005523.1",50,16879
"OLKM01000024.1",49,830399
"OLKM01000036.1",49,768982
"OLKM01000395.1",49,332796
"OLKM01001020.1",49,184644
"OLKM01001565.1",49,122155
"OLKM01000072.1",48,633204
"OLKM01000074.1",48,628967
"OLKM01000092.1",48,584966
"OLKM01000169.1",48,476843
"OLKM01000325.1",48,364125
"OLKM01000364.1",48,346391
"OLKM01000025.1",47,816862
"OLKM01000051.1",47,681306
"OLKM01000132.1",47,521259
"OLKM01000284.1",47,390090
"OLKM01000379.1",47,338299
"OLKM01000475.1",47,300115
"OLKM01000614.1",47,258499
"OLKM01000108.1",46,562012
"OLKM01000124.1",46,533867
"OLKM01000157.1",46,488081
"OLKM01000252.1",46,406427
"OLKM01000345.1",46,351655
"OLKM01000012.1",45,959773
"OLKM01000013.1",45,926208
"OLKM01000065.1",45,652591
"OLKM01000093.1",45,584417
"OLKM01000104.1",45,568384
"OLKM01000118.1",45,540805
"OLKM01000148.1",45,496920
"OLKM01000172.1",45,473547
"OLKM01000242.1",45,416139
"OLKM01000287.1",45,386167
"OLKM01000512.1",45,289247
"OLKM01000527.1",45,286480
"OLKM01006440.1",45,14280
"OLKM01000076.1",44,621435
"OLKM01000088.1",44,594889
"OLKM01000166.1",44,478650
"OLKM01000182.1",44,462331
"OLKM01000258.1",44,403121
"OLKM01000259.1",44,402992
"OLKM01000497.1",44,293280
"OLKM01000052.1",43,678942
"OLKM01000086.1",43,596185
"OLKM01000107.1",43,562215
"OLKM01000161.1",43,482308
"OLKM01000263.1",43,400928
"OLKM01000634.1",43,256030
"OLKM01003581.1",43,33704
"OLKM01000015.1",42,880624
"OLKM01000050.1",42,682417
"OLKM01000064.1",42,657237
"OLKM01000101.1",42,577444
"OLKM01000229.1",42,425757
"OLKM01000301.1",42,379333
"OLKM01000313.1",42,372275
"OLKM01000427.1",42,319879
"OLKM01000505.1",42,290956
"OLKM01005562.1",42,16764
"OLKM01000026.1",41,808902
"OLKM01000027.1",41,806277
"OLKM01000174.1",41,470757
"OLKM01000191.1",41,458651
"OLKM01000221.1",41,431979
"OLKM01000363.1",41,346438
"OLKM01000850.1",41,213129
"OLKM01000078.1",40,619451
"OLKM01000081.1",40,612535
"OLKM01000156.1",40,488399
"OLKM01000200.1",40,448579
"OLKM01000230.1",40,425647
"OLKM01000291.1",40,383068
"OLKM01000537.1",40,283378
"OLKM01000626.1",40,256696
"OLKM01003470.1",40,35807
