"","Loc","scaffold","position","gff_scaffold","scaffold.1","V2","feature_type","start","end","V6","V7","V8","ID","Name","Alias","Note"
"1","ENA|OLKM01000001|OLKM01000001.1 7659","OLKM01000001.1",7660,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",568,7852,".","-",".","ID=MEAE_00000001","MEAE_00000001","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.93","Similar to TRPC4: Short transient receptor potential channel 4 (Bos taurus)"
"2","ENA|OLKM01000001|OLKM01000001.1 7811","OLKM01000001.1",7812,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",568,7852,".","-",".","ID=MEAE_00000001","MEAE_00000001","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.93","Similar to TRPC4: Short transient receptor potential channel 4 (Bos taurus)"
"3","ENA|OLKM01000001|OLKM01000001.1 7819","OLKM01000001.1",7820,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",568,7852,".","-",".","ID=MEAE_00000001","MEAE_00000001","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.93","Similar to TRPC4: Short transient receptor potential channel 4 (Bos taurus)"
"4","ENA|OLKM01000001|OLKM01000001.1 7828","OLKM01000001.1",7829,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",568,7852,".","-",".","ID=MEAE_00000001","MEAE_00000001","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.93","Similar to TRPC4: Short transient receptor potential channel 4 (Bos taurus)"
"6","ENA|OLKM01000001|OLKM01000001.1 32570","OLKM01000001.1",32571,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"7","ENA|OLKM01000001|OLKM01000001.1 32578","OLKM01000001.1",32579,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"8","ENA|OLKM01000001|OLKM01000001.1 32581","OLKM01000001.1",32582,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"9","ENA|OLKM01000001|OLKM01000001.1 32589","OLKM01000001.1",32590,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"10","ENA|OLKM01000001|OLKM01000001.1 32618","OLKM01000001.1",32619,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"11","ENA|OLKM01000001|OLKM01000001.1 64495","OLKM01000001.1",64496,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
