"","Loc","scaffold","position","gff_scaffold","scaffold.1","V2","feature_type","start","end","V6","V7","V8","ID","Name","Alias","Note"
"1","ENA|OLKM01000001|OLKM01000001.1 7846","OLKM01000001.1",7847,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",568,7852,".","-",".","ID=MEAE_00000001","MEAE_00000001","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.93","Similar to TRPC4: Short transient receptor potential channel 4 (Bos taurus)"
"3","ENA|OLKM01000001|OLKM01000001.1 24680","OLKM01000001.1",24681,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"4","ENA|OLKM01000001|OLKM01000001.1 32562","OLKM01000001.1",32563,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"5","ENA|OLKM01000001|OLKM01000001.1 32584","OLKM01000001.1",32585,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"6","ENA|OLKM01000001|OLKM01000001.1 32586","OLKM01000001.1",32587,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"7","ENA|OLKM01000001|OLKM01000001.1 109927","OLKM01000001.1",109928,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"7.4","ENA|OLKM01000001|OLKM01000001.1 109927","OLKM01000001.1",109928,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",106646,110006,".","-",".","ID=MEAE_00000017","MEAE_00000017","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.106","Protein of unknown function"
"8","ENA|OLKM01000001|OLKM01000001.1 109930","OLKM01000001.1",109931,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",14329,116301,".","+",".","ID=MEAE_00000004","MEAE_00000004","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.124","Similar to FREM2: FRAS1-related extracellular matrix protein 2 (Homo sapiens)"
"8.4","ENA|OLKM01000001|OLKM01000001.1 109930","OLKM01000001.1",109931,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",106646,110006,".","-",".","ID=MEAE_00000017","MEAE_00000017","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.106","Protein of unknown function"
"9","ENA|OLKM01000001|OLKM01000001.1 124987","OLKM01000001.1",124988,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121496,146472,".","-",".","ID=MEAE_00000019","MEAE_00000019","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.130","Similar to TRIM3: Tripartite motif-containing protein 3 (Homo sapiens)"
"9.4","ENA|OLKM01000001|OLKM01000001.1 124987","OLKM01000001.1",124988,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121553,126069,".","+",".","ID=MEAE_00000020","MEAE_00000020","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.83","Protein of unknown function"
"10","ENA|OLKM01000001|OLKM01000001.1 135431","OLKM01000001.1",135432,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121496,146472,".","-",".","ID=MEAE_00000019","MEAE_00000019","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.130","Similar to TRIM3: Tripartite motif-containing protein 3 (Homo sapiens)"
"10.2","ENA|OLKM01000001|OLKM01000001.1 135431","OLKM01000001.1",135432,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",134160,136133,".","+",".","ID=MEAE_00000021","MEAE_00000021","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.84","Protein of unknown function"
"11","ENA|OLKM01000001|OLKM01000001.1 137070","OLKM01000001.1",137071,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121496,146472,".","-",".","ID=MEAE_00000019","MEAE_00000019","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.130","Similar to TRIM3: Tripartite motif-containing protein 3 (Homo sapiens)"
"12","ENA|OLKM01000001|OLKM01000001.1 137113","OLKM01000001.1",137114,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121496,146472,".","-",".","ID=MEAE_00000019","MEAE_00000019","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.130","Similar to TRIM3: Tripartite motif-containing protein 3 (Homo sapiens)"
"13","ENA|OLKM01000001|OLKM01000001.1 137220","OLKM01000001.1",137221,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121496,146472,".","-",".","ID=MEAE_00000019","MEAE_00000019","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.130","Similar to TRIM3: Tripartite motif-containing protein 3 (Homo sapiens)"
"14","ENA|OLKM01000001|OLKM01000001.1 138365","OLKM01000001.1",138366,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",121496,146472,".","-",".","ID=MEAE_00000019","MEAE_00000019","Alias=maker-MeA_20160214_scaffold_0-snap-gene-0.130","Similar to TRIM3: Tripartite motif-containing protein 3 (Homo sapiens)"
"15","ENA|OLKM01000001|OLKM01000001.1 152802","OLKM01000001.1",152803,"MeA_20160214_scaffold_0","OLKM01000001.1","maker","gene",152770,153171,".","-",".","ID=MEAE_00000022","MEAE_00000022","Alias=snap_masked-MeA_20160214_scaffold_0-processed-gene-0.111","Protein of unknown function"
